,term,entity_id,text_1,text_2,text_3,text_4,text_5
362,homo,Q40221,Homo-icoon,['Homoseksueel icoon'],['voorbeeldfiguur uit de homogemeenschap'],['sociale beweging'],[]
363,homo,Q54993583,Wan-BL,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[]
364,homo,Q5,mens,"['Homo sapiens', 'mensen', 'Mens']",['tweevoetige primatensoort uit de familie van de hominidae'],['klasse van organismen bekend onder één bepaalde gemeenschappelijke naam'],"['natuurlijk persoon', 'omnivoor', 'zoogdier', 'persoon']"
365,homo,Q105784,Homo heidelbergensis,"['Heidelbergmens', 'Heidelberg-mens']",['soort uit het geslacht Homo'],['fossiel taxon'],['organisme']
367,homo,Q54882501,HEL,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[]
368,homo,Q54882504,HEL 92.1.7,,cellijn van een Homo sapiens,"['cellijn', 'kankercellijn']",[]
369,homo,Q849216,ex-gaybeweging,['ex-homo'],,['sociale beweging'],[]
370,homo's,Q1975772,mietje,['flikker'],denigrerende term voor homo's,['pejoratief'],[]
371,homo's,Q55657493,Gayropa,,"denigrerende term die de tolerantie van Europa ten opzichte van homo's belachelijk maakt, wat impliceert dat heel Europa door homo's wordt bevolkt","['pejoratief', 'concept']",[]
372,homoseksualiteit,Q6636,homoseksualiteit,,['romantisch of seksueel aangetrokken voelen tot leden van hetzelfde geslacht of gender'],['seksuele geaardheid'],"['niet-heteroseksueel', 'relatie met iemand van hetzelfde geslacht', 'monoseksualiteit']"
373,homoseksualiteit,Q1054678,Outing,['Outen'],"Het naar buiten brengen iemands seksuele voorkeur, in het bijzonder homoseksualiteit",[],"['denunciation', 'gepland proces', 'openbaring', 'overtreding']"
374,homoseksualiteit,Q27333507,homoseksualiteit in Koerdistan,,['Homoseksualiteit in Koerdistan'],[],['homoseksualiteit in de samenleving']
376,homoseksualiteit,Q8225766,homoseksualiteit in de samenleving,,,[],['homoseksualiteit']
377,homoseksualiteit,Q8035007,Categorie:Mannelijke homoseksualiteit,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
378,homoseksualiteit,Q1348938,homoseksualiteit in India,,,[],['homoseksualiteit in de samenleving']
379,homoseksualiteit,Q3882309,Homoseksualiteit in de middeleeuwen,,,[],[]
380,homoseksualiteit,Q1626313,homoseksualiteit in Japan,['Nanshoku'],,[],['homoseksualiteit in de samenleving']
381,homoseksualiteit,Q18349938,homoseksualiteit in Mexico,,,[],['homoseksualiteit in de samenleving']
382,homoseksualiteit,Q6457893,homoseksualiteit in Nederland,['Homo-emancipatie in Nederland'],,[],['homoseksualiteit in de samenleving']
383,homoseksueel,Q592,gay,['homoseksueel persoon'],['synoniem voor homosexueel'],"['seksuele geaardheid', 'seksuele minderheid']","['LGBTI', 'homoseksualiteit']"
384,homoseksueel,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens']
385,homoseksueel,Q6649,lesbianisme,,vrouwelijk homoseksueel,['seksuele geaardheid'],"['homoseksualiteit', 'LGBTI', 'gynefilie']"
386,homoseksueel,Q113286753,Homoseksueel,,,"['seksuele geaardheid', 'seksuele minderheid']",['LGBTI']
387,homoseksueel,Q110271724,Lesbienne,"['Lesbische vrouw', 'Homoseksuele vrouw']",vrouwelijke homoseksueel persoon,[],['vrouwelijk mens']
388,homoseksueel,Q40221,Homo-icoon,['Homoseksueel icoon'],['voorbeeldfiguur uit de homogemeenschap'],['sociale beweging'],[]
389,homoseksueel,Q2335529,holebi,,"afkorting voor homoseksueel, lesbisch en biseksueel",['initiaalwoord'],[]
390,homoseksueel,Q970145,heteroseksueel–homoseksueel continuum,,,['spectrum'],[]
391,homoseksueel,Q17884,LGBTI,"['lhbt', 'lhbti', 'holebi', 'alterseksueel']","lesbisch, homoseksueel, biseksueel, transgender en interseks","['samenleving', 'groep mensen', 'minderheid', 'LGBT-slang']","['seksuele minderheid', 'genderminderheid']"
392,homoseksueel,Q19587709,Jillis Bruggeman,,waarschijnlijk een van de laatste om zijn seksuele geaardheid in Nederland ter dood veroordeelde en ter dood gebrachte homoseksueel,['mens'],[]
393,homoseksuele,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens']
394,homoseksuele,Q110271724,Lesbienne,"['Lesbische vrouw', 'Homoseksuele vrouw']",['vrouwelijke homoseksueel persoon'],[],['vrouwelijk mens']
395,homoseksuele,Q17015701,homoseksuele handelingen,"['gayseks', 'homoseks']",,[],[]
396,homoseksuele,Q16154286,veranderingspogingen van seksuele geaardheid,,pogingen om de seksuele geaardheid van homoseksuele mensen te veranderen,[],"['methode', 'misbruik']"
397,homoseksuele,Q2249431,homoseksuele prostitutie,,,[],['prostitutie']
398,homoseksuele,Q2774274,lijst van mannelijke homoseksuele pornoacteurs,,['Wikimedia-lijst'],['Wikimedia-lijst'],[]
399,homoseksuele,Q55186653,Mister Gay Netherlands,,schoonheidswedstrijd voor homoseksuele mannen,['onderscheiding'],[]
400,homoseksuele,Q1903815,Instructie inzake de criteria om roepingen te beoordelen van personen met homoseksuele neigingen met het oog op hun toelating tot het seminarie en de Heilige Wijdingen,,['Homo-instructie roepingen Katholieke Kerk'],['document'],[]
401,homoseksuele,Q16154065,circuit party,,dansfeest voor homoseksuele mensen,['soort evenement'],['feest']
402,homoseksuele,Q14209827,Wikivoyage:Informatie voor homoseksuele reizigers,,['Wikimedia-projectpagina'],['Wikimedia-projectpagina'],[]
403,homoseksuelen,Q33487,homofobie,"['Lesbofobie', 'Homohaat', 'Homofobisch', 'Homophobie']",haat voor of afkeer van homoseksuelen en homoseksualiteit,['vooroordeel'],"['discriminatie', 'vooroordeel']"
404,homoseksuelen,Q8380267,Categorie:Discriminatie tegen homoseksuelen,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
405,homoseksuelen,Q165371,roze driehoek,,herkenningsteken voor vervolging van homoseksuelen tijdens WOII en vervolgens geuzenteken van de homobeweging,"['LHBT-symbolen', 'geuzennaam']",['driehoek']
406,homoseksuelen,Q8578659,Categorie:Rechten van homoseksuelen,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
407,homoseksuelen,Q568945,Monument voor de onder het nationaalsocialisme vervolgde homoseksuelen,,['bouwwerk in Berlijn'],"['Holocaust-monument', 'sculptuur', 'historische lhbt-plek', 'herdenkingsmonument']",[]
408,homoseksuelen,Q3343422,Levensrecht,,"1940-1948, eerste Nederlands tijdschrift van en voor homoseksuelen","['periodiek', 'tijdschrift']",[]
409,hottentot,Q219252,Khoikhoi,"['Hottentot', 'Khoi', 'Hottentotten']",['etnische groep'],['etnische groep'],[]
410,hottentotten,Q219252,Khoikhoi,"['Hottentot', 'Khoi', 'Hottentotten']",['etnische groep'],['etnische groep'],[]
411,inboorling,Q115308828,"Selfie series: ""aaaaa een inboorling"" aaaaaaaa a native”",,['schilderij van Tanja Ritterbex'],['schilderij'],[]
412,indiaan,Q85299977,[HM2015b] 263,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[]
413,indiaan,Q85300151,[HM2015b] 193,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[]
414,indiaan,Q85300132,[HM2015b] 190,,compacte groep van sterrenstelsels in sterrenbeeld Indiaan,['compacte groep van sterrenstelsels'],[]
415,indiaan,Q93753953,2MASX J23260362-6910185,,laag-ioniserend nucleaire stralingslijn-regio in sterrenbeeld Indiaan,"['laag-ioniserend nucleaire stralingslijn-regio', 'sterrenstelsel']",[]
416,indiaan,Q66548213,HD 201427,,overlappende dubbelster in sterrenbeeld Indiaan,"['infraroodbron', 'bron van astrofysische röntgenstraling', 'overlappende dubbelster', 'ster']",[]
417,indiaan,Q88092031,CD-56 8417,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'ster']",[]
418,indiaan,Q88559330,TYC 9337-2511-1,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'infraroodbron']",[]
419,indiaan,Q89920129,UNSW-V 722,,overlappende dubbelster in sterrenbeeld Indiaan,"['overlappende dubbelster', 'hardlopende ster', 'ster']",[]
420,indiaan,Q83790261,2MASS J21281337-5200292,,overlappende dubbelster in sterrenbeeld Indiaan,"['ster', 'overlappende dubbelster']",[]
421,indiaan,Q83789588,2MASS J20383137-5933244,,overlappende dubbelster in sterrenbeeld Indiaan,"['ster', 'overlappende dubbelster']",[]
422,indiaans,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking']
423,indiaans,Q92067916,Jupta Itoewaki,['Jupta Lilian Itoewaki'],Surinaams-indiaans belangenbehartiger en politica,['mens'],[]
424,indiaans,Q77082483,Categorie:Surinaams indiaans persoon,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
425,indiaans,Q2553145,Emelina Sabajo,,Surinaams indiaans persoon en verteller,['mens'],[]
426,indiaans,Q7462529,Shaka Laka Boom Boom,['Kinshuk Vaidya'],Indiaans televisieprogramma,['televisieprogramma'],[]
427,indiaans,Q279879,Indiaans-Amerikaanse fluit,,,[],[]
428,indiaans,Q4802174,Aruna Shanbaug,,Indiaans verpleegster (1948-2015),"['mens', 'rechtszaak']",[]
429,indiaans,Q18580084,Rajakisora Raya,,Indiaans schrijver,['mens'],[]
430,indiaans,Q98703813,Covaxin,"['BBV152', 'indiaans vacin']",,"['COVID-19-vaccin', 'geïnactiveerd vaccin']",[]
431,indiaans,Q6780511,Mary Pickford,,Indiaans neurowetenschapper,['mens'],[]
432,indianen,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking']
436,indianen,Q16910544,geschiedenis van de Indianen in de Verenigde Staten,,,"['aspect van de geschiedenis', 'gebeurtenis']",['geschiedenis van Indiaanse volkeren']
437,indianen,Q510048,Mandan (volk),,"Indianen, oorspronkelijke bewoners van Noord-Amerika",['etnische groep'],[]
438,indianen,Q100340285,Indianen van Latijns Amerika,,['Tentoonstelling uit 1978'],['tijdelijke tentoonstelling'],[]
439,indianen,Q3323096,presidio,['Presidio (fort)'],"is een type forten en militaire buitenposten die door de Spanjaarden tussen de 16e en 19e eeuw in Noord-Amerika opgericht werden. Presidio's werden gebouwd als bescherming tegen piraten, gewelddadige indianen en vijandige kolonisten.",[],['fort']
440,indianen,Q1261048,Warau,"['Warao-indianen', 'Waraos']",['volk'],['etnische groep'],[]
441,indianen,Q100341399,Indianen Verhalen,,['Tentoonstelling uit 1998'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[]
442,indianen,Q6034885,inheemse Surinamers,['Surinaamse indianen'],['etnische groep in Suriname'],['etnische groep'],['Indianen']
443,indianen,Q6979964,Controverse over het benoemen van de Indianen,,,[],[]
444,indianen,Q47534052,De keizerlijke troepen brengen de Indianen beschaving,,['prent van Dirck Volkertsz. Coornhert'],['prent'],[]
445,indisch,Q188161,Nederlands-Indië,"['Nederlands Indië', 'Nederlandsch-Indie', 'Nederlands Indie', 'Nederlands Oost-Indië', 'De Oost', 'Nederlands-Indisch', 'Nederland overzee', 'Hindia-Belanda', 'Nederlands-Indie', 'Nederlandsch-Indië', 'Nederlands Oost-Indie']",['voormalige kolonie der Nederlanden in Zuidoost-Azië; na 1949 Indonesië'],"['historisch land', 'kolonie']",[]
446,indisch,Q215643,Indo-Grieken,"['Indo-Griekse Rijk', 'Indo-Grieks koninkrijk', 'Indo-Grieks', 'Indisch-Griekse koninkrijk', 'Indisch-Grieks koninkrijk']",['historisch land'],['historisch land'],[]
448,indisch,Q109712735,Derde Archbold-expeditie,"['3e Archbold-expeditie', 'Nederlandsch-Indisch Amerikaansche Expeditie naar Nederlandsch Nieuw-Guinea', ""3e Archbold-expeditie naar Nieuw Guinea 1938-'39""]",['Nederlands-Indische Amerikaanse expeditie naar Nieuw-Guinea'],['wetenschappelijke expeditie'],[]
449,indisch,Q523553,Koninklijk Nederlandsch-Indisch Leger,"['KNIL', 'Koninklijk Nederlandsch-Indisch Leger (KNIL)', 'Koninklijk Nederlandsch-Indische Leger', 'Nederlands-Indische Leger']",['Nederlandse koloniale leger'],"['leger', 'landmacht']",[]
451,indisch,Q84322587,Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland,"['NINDICOM', 'Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland', 'Nederlands-Indische Commissie']",Nederlands-Indisch bestuur in ballingschap,['commissie'],[]
452,indisch,Q93237080,West-Indisch Comité,"['comité tot de zaken van de koloniën en bezittingen op de kust van Guinea en America', 'Comité tot de Zaken Koloniën en Bezittingen op de Kust Guinea en in Amerika', 'Committé tot de zaken van de Coloniën en Bezittingen in Africa en America']",['overheidsorganisatie voor bestuur van Nederlandse koloniën in Amerika (1795-1800)'],['overheidsorganisatie'],[]
453,indisch,Q13927486,Oost-Indisch Huis,,['gebouwen in Nederland'],[],"['gebouw', 'Vereenigde Oostindische Compagnie']"
454,indisch,Q63314979,,,"uitgave van Een opmerkelijk Wapenfeit, ontleend aan de Geschiedenis van het West-Indisch eiland St. Martin (1863 edition)","['editie, versie of vertaling']",[]
455,indisch,Q2720031,West-Indisch Huis,"['Luthers wees- en oudeliedenhuis en West-Indisch Huis', 'rijksmonumentnummer 1372', 'West-Indisch Huis (Amsterdam)']",['voormalige hoofdkwartier van de West-Indische Compagnie (WIC) in Amsterdam'],['woonhuis'],[]
458,indisch,Q98496136,"Rijksinstelling van onderwijs in Indische taal-, land- en volkenkunde","['rijksinstelling voor onderwijs in Indisch taal-, land en volkenkunde']",['onderwijsinstelling in Leiden'],['onderwijsinstelling'],[]
459,indische,Q652560,West-Indische Federatie,,['historisch land'],['historisch land'],[]
460,indische,Q826616,Deense Oost-Indische Compagnie,['Deense Oostindische Compagnie'],,['koloniale onderneming'],[]
461,indische,Q53034861,Emancipatiewet,['Wet tot opheffing der slavernij in de Nederlandsche West-Indische Koloniën'],['wetpakket voor de afschaffing van de Nederlandse slavernij'],['wet'],[]
462,indische,Q100341198,Nederlandsche West-Indische Tentoonstelling,,['Tentoonstelling uit 1899'],['tijdelijke tentoonstelling'],[]
463,indische,Q109712735,Derde Archbold-expeditie,"['3e Archbold-expeditie', 'Nederlandsch-Indisch Amerikaansche Expeditie naar Nederlandsch Nieuw-Guinea', ""3e Archbold-expeditie naar Nieuw Guinea 1938-'39""]",Nederlands-Indische Amerikaanse expeditie naar Nieuw-Guinea,['wetenschappelijke expeditie'],[]
464,indische,Q1270312,Deense West-Indische en Guineese Compagnie,['Deense Afrika Compagnie'],,"['handelscompagnie', 'koloniale onderneming']",[]
465,indische,Q100341062,"Tentoonstelling Indonesië, Suriname, Nederlandse Antillen","['TISNA', 'Tentoonstelling Indonesië, Suriname en de Nederlandse Antillen']",rondreizende Indische tentoonstelling en filmvoorstellingen voor de Nederlandse jeugd,['tijdelijke tentoonstelling'],[]
466,indische,Q605901,Zweedse Oost-Indische Compagnie,,['bedrijf in Zweden'],"['koloniale onderneming', 'handelscompagnie']",[]
467,indische,Q523553,Koninklijk Nederlandsch-Indisch Leger,"['KNIL', 'Koninklijk Nederlandsch-Indisch Leger (KNIL)', 'Koninklijk Nederlandsch-Indische Leger', 'Nederlands-Indische Leger']",['Nederlandse koloniale leger'],"['leger', 'landmacht']",[]
469,indische,Q84322587,Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland,"['NINDICOM', 'Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland', 'Nederlands-Indische Commissie']",['Nederlands-Indisch bestuur in ballingschap'],['commissie'],[]
472,indischer,Q55037988,ein indischer König,,['opera-personage uit Phaëton'],"['opera-personage', 'fictief mens']",[]
473,indo,Q2116909,Indische Nederlanders,"['Indo-Europeanen', ""Indo's"", 'Indische gemeenschap']",['Nederlanders van Nederlands-Indische afkomst'],['etnische groep'],[]
475,indo,Q475027,Indo-Europeanen,"['Indogermanen', 'Indo-Germanen', 'Indo-Europese volkeren', 'Indo-Europese volken']",['voorouders van de moderne Europeanen'],[],['etnische groep']
479,indo,Q8752,Baskisch,"['Euskara', 'eu']",niet-Indo-Europese taal isolaat gesproken door de Baskische bevolking in delen van het huidige Frankrijk en Spanje,"['isolaat', 'levende taal']",['Vasconische talen']
480,indo,Q40477,Slavische volkeren,"['Slavisch Europa', 'Slavische volken']","de Indo-Europese volken die een taal uit de Slavische taalfamilie spreken en worden aan de hand van de onderverdeling van deze taalfamilie onderscheiden in Oost-, West- en Zuid-Slaven",['inheemse bevolking'],['Indo-Europeanen']
481,indo,Q60741209,Indo-Māori,['Māori Indians'],['etnische groep in Nieuw-Zeeland van mensen met gemengde Māori en Indiase afkomst'],['etnische groep'],['Maori']
482,indo,Q240123,Indo-Scythen,,['historisch land'],"['historisch land', 'etnische groep']",[]
483,indo,Q269145,Indo-Arische migratie-theorie,,['theorie van migraties van Indo-Arische volkeren naar het Indisch Subcontinent'],['menselijke migratie'],[]
485,indo,Q215643,Indo-Grieken,"['Indo-Griekse Rijk', 'Indo-Grieks koninkrijk', 'Indo-Grieks', 'Indisch-Griekse koninkrijk', 'Indisch-Grieks koninkrijk']",['historisch land'],['historisch land'],[]
489,indo,Q61896194,De vergeten krijgers : de onvoorwaardelijke trouw van de Indo-Afrikaanse gemeenschap aan de Nederlandse vlag,,['boek door Griselda Molemans'],['literair werk'],[]
490,indo,Q1610219,Hermaeus Soter,,"westelijke Indo-Griekse koning van de Eucratiden-dynastie die over het gebied van de Paropamisade in de Hindoekoesj heerste, met als hoofdstad Alexandria van de Kaukasus bij het huidige Kabul, Afghanistan",['mens'],[]
491,indo's,Q2116909,Indische Nederlanders,"['Indo-Europeanen', ""Indo's"", 'Indische gemeenschap']",['Nederlanders van Nederlands-Indische afkomst'],['etnische groep'],[]
492,inheems,Q103817,inheemse bevolking,"['Natives', 'oorspronkelijke bewoners', 'inheemsen', 'oorspronkelijke bevolking', 'inheemse volken', 'inheems volk', 'inheemse volkeren', 'primitieve volkeren', 'oorspronkelijke culturen']",,[],"['bevolkingsgroep', 'volk', 'etnische groep', 'minderheid']"
493,inheems,Q2659059,Paleo-Eskimo's,,Inheems volk van de Arctische regio,"['volk', 'beschaving']",[]
494,inheems,Q185461,Arameeërs,"['Arameers', 'Arameeers', 'Arameërs', 'Aram']",etnische groep inheems tot Mesopotamië en de Levant,"['volk', 'nationale minderheid']",[]
495,inheems,Q1853257,Waiwai (volk),,inheems volk in Brazilië,"['geïsoleerde groep mensen', 'etnische groep']",[]
496,inheems,Q3814068,Kaxuyana,,Inheems volk in Brazilië,['etnische groep'],[]
497,inheems,Q1065583,Potawatomi,,inheems Amerikaans volk,"['etnische groep', 'bestuurlijk gebied']",[]
498,inheems,Q672999,Esopus,,inheems Amerikaans volk,['volk'],[]
499,inheems,Q5162345,Inheems Amerikaanse religie,,['godsdienst en spirituele riten van inheemse volkeren van Noord- en Zuid-Amerika'],['religie'],['ethnische godsdienst']
500,inheems,Q51716,Houma Nation,,inheems volk van Noord-Amerika,['etnische groep'],['Native Americans in the United States']
501,inheems,Q107434,Sioux,,inheems volk van Noord-Amerika,"['stam', 'etnische groep']",['Indianen']
502,inheemse,Q103817,inheemse bevolking,"['Natives', 'oorspronkelijke bewoners', 'inheemsen', 'oorspronkelijke bevolking', 'inheemse volken', 'inheems volk', 'inheemse volkeren', 'primitieve volkeren', 'oorspronkelijke culturen']",,[],"['bevolkingsgroep', 'volk', 'etnische groep', 'minderheid']"
505,inheemse,Q1363781,inheemse volkeren in Brazilië,,['etnische groep'],['etnische groep'],['inheemse bevolking']
506,inheemse,Q216839,Inheemse volken van Taiwan,['Taiwanese aboriginals'],,"['geïsoleerde groep mensen', 'etnische groep']",['inheemse bevolking']
507,inheemse,Q15571255,oorspronkelijk bevolking van Noord-Amerika,['inheemse bevolking van Noord-Amerika'],,"['etnische groep', 'bevolkingsgroep']",['Indianen']
508,inheemse,Q1493806,inheemse bevolking van Australië,,,['etnische groep'],['inheemse bevolking']
509,inheemse,Q1755300,Omvolking,,Vervanging van de Westerse inheemse bevolking door immigranten met een niet-Westerse cultuur,[],['culturele assimilatie']
510,inheemse,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking']
512,inheemse,Q16908608,autochtoon,,inheemse bevolking,['term'],['inheemse bevolking']
513,inheemse,Q804127,Bajau-mensen,,"inheemse groep afkomstig van het eiland Bajau in het regentschap Anambas-eilanden, provincie Riau-eilanden, Indonesië","['etnische groep', 'inheemse bevolking', 'ethnische groep in Indonesië']",[]
514,inheemse,Q3987120,inheemse volken van de Arctische regio,,,['culturele regio'],[]
515,inlander,Q1945590,Inlander,['Inlander (Nederlands-Indie)'],['etnische groep'],['inheemse bevolking'],['Indonesiërs']
517,inlander,Q104250539,,,schilderij van Henry Inlander,['schilderij'],[]
518,inlander,Q20434128,,,schilderij van Henry Inlander,['schilderij'],[]
519,inlander,Q23698534,,,schilderij van Henry Inlander,['schilderij'],[]
520,inlander,Q23698830,,,schilderij van Henry Inlander,['schilderij'],[]
521,inlander,Q27971432,,,schilderij van Henry Inlander,['schilderij'],[]
522,inlander,Q28549245,,,schilderij van Henry Inlander,['schilderij'],[]
523,inlander,Q28563799,,,schilderij van Henry Inlander,['schilderij'],[]
524,inlander,Q50821493,,,schilderij van Henry Inlander,['schilderij'],[]
525,inlander,Q52237339,,,schilderij van Henry Inlander,['schilderij'],[]
526,inlanders,Q112845940,Gevecht tussen Nederlandse militairen en inlanders,,['schilderij van anonieme schilder'],['schilderij'],[]
527,inlanders,Q100341039,Beeldgroepen van Inlanders uit den Indischen archipel,,['Tentoonstelling uit 1918'],['tijdelijke tentoonstelling'],[]
528,inuit,Q189975,Inuit,"['Inuït', 'Inuk']","[""naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden""]","['etnische groep', 'volk']","[""eskimo's""]"
529,inuit,Q1128374,Inuit Ataqatigiit,"['Inuitgemeenschap', 'Inuit Ataqatigiit-partij']",['politieke partij uit Groenland'],['politieke partij'],[]
531,inuit,Q4532729,eskimonologie,['inuitologie'],"Wetenschap van de taal, literatuur en cultuur van de Eskimo (Inuit)",['regiostudies'],[]
532,inuit,Q100341703,Canadese Inuit Kunst,,['Tentoonstelling uit 2017'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[]
533,inuit,Q1091412,Inuit Tapiriit Kanatami,,['organisatie uit Canada'],['organisatie'],[]
534,inuit,Q22444905,Inuit Islet,,['eiland in  Canada'],['eiland'],[]
535,inuit,Q888553,Kalaallit,['Groenlandse Inuit'],['etnische groep'],['etnische groep'],['Groenlandse Inuit']
536,inuit,Q887850,Groenlandse Inuit,,['etnische groep'],['etnische groep'],['Inuit']
537,inuit,Q56491972,Inuit post-colonial gender relations in Greenland,,['proefschrift'],['proefschrift'],[]
538,inuit,Q104502052,Inuit Ataqatigiit Inuusuttaat,,,['politieke partij'],[]
539,inuk,Q189975,Inuit,"['Inuït', 'Inuk']","[""naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden""]","['etnische groep', 'volk']","[""eskimo's""]"
540,inuk,Q47465549,Inuk,,['achternaam'],['familienaam'],[]
541,inuk,Q22444914,Inuk Mountain,,['berg in Canada'],['berg'],[]
542,inuk,Q57503023,INUK (2018-2019),,['podiumkunstenproductie'],['theaterproductie'],[]
543,inuk,Q57509560,INUK (2017-2018),,['podiumkunstenproductie'],['theaterproductie'],[]
544,islamiet,Q47740,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[]
545,islamieten,Q47740,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[]
546,jap,Q1192767,Jap,,,"['pejoratief', 'afkorting']",[]
547,jap,Q173712,JAP,,,['motorfietsfabrikant'],[]
548,jap,Q3133637,Invincible-JAP,,['motorfietsmerk uit Australië'],['historische motorfietsfabrikant'],[]
549,jap,Q2294900,Harding-JAP,,['motorfietsmerk uit Frankrijk'],['historische motorfietsfabrikant'],[]
550,jap,Q2369794,King-JAP,,['motorfietsmerk uit Duitsland'],['historische motorfietsfabrikant'],[]
551,jap,Q54898510,JAP-NF,,['cellijn van een Homo sapiens'],"['cellijn', 'getransformeerde cellijn']",[]
552,jap,Q161652,japanners,"['Japanner', 'Jap', 'Japanse beschaving', 'Japanse bevolking']",['etnische groep'],['etnische groep'],['Oost-Aziaten']
553,jap,Q58150158,1 Jap. Sicheltanne,,,['natuurmonument in Duitsland'],[]
554,jap,Q3156859,JAP,,['single van Abingdon Boys School'],['single'],[]
555,jap,Q106021863,Jap-Peter-Hansen-Wai,,"['straat in Sylt, Duitsland']",['straat'],[]
556,jappen,Q2145880,De Jappen vallen aan,,['stripalbum van Georges Troisfontaines'],['stripalbum'],[]
557,jappenkamp,Q2432369,jappenkamp in Nederlands-Indië,['Jappenkampen in Nederlands-Indie'],['Japanse interneringskampen'],[],['concentratiekamp']
558,jappenkamp,Q70320605,Jappenkamp in Makassar,['kamp Makassar'],,"['concentratiekamp', 'jappenkamp in Nederlands-Indië']",[]
559,jappenkamp,Q71859469,Vrouwenkamp Adek,"['kamp Adek', 'Adek-kamp in Batavia', 'ADEK']",Jappenkamp gevestigd rond het Algemeen Delisch Emigratie-Kantoor,"['interneringskamp', 'jappenkamp in Nederlands-Indië']",[]
560,jappenkamp,Q62498853,kamp Ambarawa,,voormalig jappenkamp voor burgers,['jappenkamp in Nederlands-Indië'],[]
561,jappenkamp,Q9073603,Categorie:Persoon in een Jappenkamp,,['Wikimedia-categorie'],['Wikimedia-categorie'],[]
562,jappenkamp,Q83755965,kamp Ambon-stad,,Jappenkamp,['jappenkamp in Nederlands-Indië'],[]
563,jappenkampen,Q2432369,jappenkamp in Nederlands-Indië,['Jappenkampen in Nederlands-Indie'],['Japanse interneringskampen'],[],['concentratiekamp']
564,japs,Q7580203,Spratleys Japs,,['muziekgroep uit Verenigd Koninkrijk'],['muziekgroep'],[]
565,kaffer,Q1285250,Kaffer,,"['betekent ongelovige, ook wel voor sukkel of lomperik, en een scheldwoord']",[],[]
566,kaffer,Q37434373,Kaffer,,['achternaam'],['familienaam'],[]
567,kaffers,Q63313831,,,uitgave van De Kaffers aan de zuidkust van Afrika (1810 edition),"['editie, versie of vertaling']",[]
568,kaukasisch,Q7129609,Kaukasisch ras,['Kaukasische ras'],['antropologische term'],['menselijk ras'],['mens']
569,kaukasisch,Q2088141,Kaukasisch Imamaat,"['Kaukasische imamaat', 'Kaukasische lmamaat']",,"['staat', 'historisch land']",[]
570,kaukasisch,Q2655106,Pharasmanes II of Iberia,['Parsman II van Iberie'],staatshoofd uit Kaukasisch Iberië (-132),['mens'],[]
