,term,entity_id,text_1,text_2,text_3,text_4,text_5
194,dwerg,Q5976,Zwarte dwerg,,,['hypothetisch hemellichaam'],['witte dwerg']
195,dwerg,Q56299838,"Dwerg met zwaard, in aanvallende houding",,['Prent; Ontworpen door Jacques Callot (1592 - 1635); Gemaakt door Anoniem'],['prent'],[]
196,dwerg,Q10477881,dwerg in een fictiewerk,,['personage in fictief werk'],['fictieve mensachtige soort'],"['geestwezen in een fictiewerk', 'fictieve humanoïde']"
197,dwerg,Q136562,Pulserende witte dwerg,,,['astronomisch objecttype'],['witte dwerg']
198,dwerg,Q17480821,fictieve bruine dwerg,,,[],['fictief hemellichaam']
199,dwerg,Q194101,dwerggroei,['dwerg'],['persoon met dwerggroei'],['ziekte'],[]
200,dwerg,Q193275,Klein zonnestelsellichaam,,"Object in de ruimte dat geen planeet is, geen dwerg planeet en ook geen satelliet.",[],['substellair object']
201,dwerg,Q2738581,dwerg in Noordse mythologie,"['Dwergen in de Germaanse mythologie', 'Noordse dwerg', 'Dwergen in de Noordse mythologie', 'dwerg in de Germaanse mythologie']",,['fictieve mensachtige soort'],['dwerg']
204,dwergen,Q3478903,Zeven ringen van de dwergen,,['Ringen van Macht van Sauron'],['groep fictieve objecten'],['Ringen van Macht']
205,dwergen,Q56508630,Verschillende misvormde dwergen,,['Prentenreeks'],['prentenserie'],[]
206,dwergen,Q2738581,dwerg in Noordse mythologie,"['Dwergen in de Germaanse mythologie', 'Noordse dwerg', 'Dwergen in de Noordse mythologie', 'dwerg in de Germaanse mythologie']",,['fictieve mensachtige soort'],['dwerg']
208,dwergen,Q3870124,Nietige Dwergen,"['Noegyth Nibin', 'Nibin-Nogrim']",,['volk in werk van Tolkien'],['dwerg in werk van Tolkien']
209,dwergen,Q639184,Zeven dwergen,['De zeven dwergen'],['groep personages uit sprookje'],['groep personages'],[]
211,dwergen,Q27148555,Zeven dwergen,['De zeven dwergen'],['Walt Disney'],['fictieve groep personages'],[]
