,term,URI,aat_bow,cs_scopeNote_tfidf
37,moors,300008902,"['peat', 'deposit', 'remains', 'moor', 'accumulated', 'semicarbonized', 'plant', 'unconsolidated', 'bog']",0.6
38,moors,300266843,"['building', 'found', 'moorstones', 'granite', 'gathered', 'moor', 'stone', 'moorstone', 'england', 'hence', 'type', 'surface']",0.766
39,moors,300386937,"['monarch', 'mudéjar', 'culture', 'iberian', 'allegiance', 'tribute', 'retain', 'reconquest', 'paying', 'owing', 'allowed', 'christian']",0.75
40,moors,300020944,"['arabesque', 'style', 'mud', 'work', 'mudéjar', 'moslem', 'stalactite', 'horseshoe', 'applied', 'vassal', 'decorative', 'ejar', 'azulejo', 'architectural', 'portugal', 'mudéjare', 'art', 'kufic']",0.673
41,moors,300386887,"['heather', 'landforms', 'moor', 'upland', 'dominated', 'sandy', 'area', 'vegetation', 'shrubby', 'including', 'heath', 'low', 'landform']",0.691
42,moors,300386886,"['poor', 'land', 'landforms', 'peaty', 'moor', 'drainage', 'regularly', 'populated', 'vegetation', 'wet', 'bog', 'moorland', 'uncultivated', 'landform']",0.693
43,moor,300250079,"['forest', 'eurasia', 'spring', 'tetrix', 'black', 'moor', 'specie', 'adjacent', 'plural', 'display', 'sedentary', 'open', 'bog', 'eurasian', 'singluar', 'blackgame', 'grouse', 'tetrao', 'noted']",0.757
44,moor,300140253,"['movable', 'guéridon', 'louis', 'pedestal', 'candlestands', 'table', 'derivation', 'exoticism', 'uncertain', 'xvi', 'negress', 'denoting', 'guéridons', 'blackamoors']",0.694
45,moor,300011200,"['cornish', 'bodmin', 'granite', 'cornwall', 'moor', 'silver', 'quarry', 'falmouth', 'four', 'camborne', 'helston']",0.599
46,moor,300120786,"['place', 'warf', 'discharge', 'unloading', 'built', 'wharf', 'shoreline', 'receive', 'loading', 'quay', 'warfs', 'landing', 'parallel']",0.63
47,moor,300400593,"['tabby', 'copper', 'finishing', 'antique', 'mohair', 'calendering', 'moor', 'watered', 'moiré', 'engraved', 'moire', 'textile', 'roller', 'wavy', 'fabric', 'silk', 'running']",0.57
48,moor,300375152,"['style', 'berber', 'mauritania', 'boundary', 'sahara', 'moor', 'culture', 'mali', 'morocco', 'maures', 'mauri', 'mauritanian', 'algeria', 'proper', 'arab', 'maure', 'neighboring']",0.913
49,moor,300386886,"['poor', 'land', 'landforms', 'peaty', 'moor', 'drainage', 'regularly', 'populated', 'vegetation', 'wet', 'bog', 'moorland', 'uncultivated', 'landform']",0.693
50,indians,300375026,"['manchineel', 'manchenil', 'polymorphic', 'machinella', 'machinelle', 'shipwrecked', 'manchineal', 'poisoned', 'specie', 'hippomane', 'manzanillo', 'mansanillo', 'irritates', 'latex', 'poison', 'mancanilla', 'manchioneal', 'guava', 'mancinella', 'sap', 'poisonous', 'caribbean', 'conquistador']",0.522
51,indians,300310567,"['burden', 'beast', 'llama', 'peruvian', 'genus', 'thousand', 'andes', 'woolly', 'specie', 'vicugna', 'classified', 'lama', 'pacos', 'formerly', 'quadruped', 'considerably', 'alpaca']",0.646
52,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
53,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
54,indians,300263269,"['orleans', 'indian', 'carnival', 'london', 'masquerade', 'black', 'toronto', 'brooklyn', 'masker', 'haiti', 'nation', 'vividly']",0.658
55,indians,300263942,"['boot', 'ostrich', 'indian', 'sing', 'unofficial', 'parade', 'moccasin', 'sequin', 'mardi', 'gras', 'rhinestone']",0.554
56,indians,300250556,"['bandolier', 'wallet', 'bandileers', 'might', 'across', 'bandeliers', 'breast', 'strap', 'pocket', 'shoulder', 'belt', 'bag', 'worn', 'bandoleer']",0.361
57,indians,300017634,"['westward', 'indian', 'style', 'wyoming', 'culture', 'arkansas', 'river', 'platte', 'oral', 'nebraska', 'kansa', 'arapahoe', 'arapaho', 'abandoning']",0.784
58,indians,300017634,"['westward', 'indian', 'style', 'wyoming', 'culture', 'arkansas', 'river', 'platte', 'oral', 'nebraska', 'kansa', 'arapahoe', 'arapaho', 'abandoning']",0.784
59,indians,300254307,"['wooden', 'indian', 'popular', 'representing', 'figure', 'american', 'advertising', 'cigar', 'sign', 'store']",0.771
60,indians,300254307,"['wooden', 'indian', 'popular', 'representing', 'figure', 'american', 'advertising', 'cigar', 'sign', 'store']",0.771
61,indians,300254307,"['wooden', 'indian', 'popular', 'representing', 'figure', 'american', 'advertising', 'cigar', 'sign', 'store']",0.771
62,indians,300254307,"['wooden', 'indian', 'popular', 'representing', 'figure', 'american', 'advertising', 'cigar', 'sign', 'store']",0.771
63,indians,300254307,"['wooden', 'indian', 'popular', 'representing', 'figure', 'american', 'advertising', 'cigar', 'sign', 'store']",0.771
64,indians,300255632,"['indian', 'birchbark', 'outer', 'whose', 'birch', 'built', 'originally', 'bark', 'skin', 'north', 'canoe', 'american']",0.617
65,indians,300250566,"['bandolier', 'buckskin', 'wallet', 'across', 'breast', 'bandelier', 'pocket', 'bandileer', 'shoulder', 'bag', 'worn', 'friendship', 'bandoleer', 'muslin']",0.352
66,indians,300018086,"['spanish', 'chiaroscuro', 'peruvian', 'cuzco', 'favoring', 'netherlandish', 'tradition', 'painter', 'creole', 'circle', 'incan']",0.733
67,indians,300017724,"['style', 'indian', 'arizona', 'culture', 'reservation', 'relocated', 'athabascan', 'migrated', 'homeland', 'descendent', 'southwest', 'extended', 'apache']",0.83
68,indians,300017763,"['pueblo', 'westernmost', 'style', 'aztecan', 'modern', 'shoshonean', 'uto', 'culture', 'anasazi', 'moki', 'tusayan', 'moqui', 'stock', 'situated', 'precise', 'hopi']",0.768
69,indians,300017826,"['style', 'successful', 'culture', 'irrigation', 'advanced', 'mesoamerican', 'mayan', 'agriculturalist', 'belize', 'guatemala', 'stye', 'occupying', 'maya']",0.882
70,indians,300017934,"['toltén', 'spanish', 'style', 'biobío', 'chile', 'culture', 'river', 'mapuche', 'south', 'population', 'valley', 'araucanos', 'araucanian']",0.729
71,indians,300417687,"['shelknam', 'indian', 'virtually', 'chile', 'patagonian', 'fuego', 'ona', 'columbian', 'selk', 'subdivision', 'del', 'shelnam', 'argentina', 'selknam', 'tierra', 'nam']",0.544
72,indians,300017530,"['yahano', 'san', 'yuman', 'california', 'baja', 'inhabit', 'diegueño', 'mission', 'extending', 'mexican', 'diego', 'diegueno']",0.63
73,indians,300017596,"['bella', 'scholarship', 'preferred', 'bellabella', 'heiltsuk', 'determination', 'material', 'erroneously', 'refer', 'people', 'therein']",0.857
74,indians,300017642,"['blood', 'blackfoot', 'style', 'indian', 'artwork', 'belonging', 'akainawa', 'native', 'kainah', 'tribe', 'north', 'american', 'kainai', 'refers']",0.816
75,indians,300016804,"['style', 'indian', 'culture', 'caddo', 'linguistic', 'family', 'composed', 'tribe', 'confederacy', 'north', 'american', 'caddoan', 'refers']",0.855
76,indians,300016903,"['indian', 'washington', 'puget', 'georgia', 'pacific', 'vancouver', 'olympic', 'salish', 'coast', 'strait', 'sound', 'peninsula']",0.653
77,indians,300016903,"['indian', 'washington', 'puget', 'georgia', 'pacific', 'vancouver', 'olympic', 'salish', 'coast', 'strait', 'sound', 'peninsula']",0.653
78,indians,300016954,"['hisatsinom', 'modern', 'anasazi', 'preferred', 'contemporary', 'ancestral', 'people', 'non', 'dead', 'mexico', 'native', 'ancestor', 'common', 'identify', 'arizona', 'dwelling', 'avoided', 'apartment', 'meaning', 'culture', 'hopi', 'puebloan', 'pueblo', 'used', 'abandonment', 'cliff', 'usage', 'moki', 'moqui', 'basketmaker', 'scheme', 'intersect', 'american']",0.93
79,indians,300016652,"['indian', 'related', 'style', 'culture', 'eastern', 'paleo', 'north', 'period', 'american']",0.814
80,indians,300249561,"['raised', 'framed', 'sided', 'miccosukee', 'log', 'platform', 'chikees', 'seminole', 'chickees', 'partially', 'chickee', 'fully', 'thatched']",0.673
81,indians,300197395,"['oregon', 'mill', 'machine', 'indian', 'taste', 'pendleton', 'robe', 'suit', 'blanket', 'inexpensive', 'woolen', 'trade']",0.519
82,indians,300016773,"['athapascan', 'style', 'athabaska', 'athapaska', 'culture', 'group', 'dené', 'athabascan', 'gallatin', 'area', 'athapaskan', 'term', 'athabaskan', 'spelling', 'language']",0.813
83,indians,300265506,"['indian', 'ojibwa', 'belcourt', 'metis', 'mountain', 'reservation', 'chippewa', 'band', 'turtle', 'based', 'north', 'tribe', 'dakota']",0.687
84,indians,300016636,"['indian', 'related', 'style', 'culture', 'paleo', 'western', 'north', 'period', 'american']",0.816
85,indians,300017924,"['masco', 'indian', 'mashco', 'masko']",0.569
86,indians,300017924,"['masco', 'indian', 'mashco', 'masko']",0.569
