term,max_cs,mean_cs,mean_cs_true,mean_cs_false,min_cs_true,n_true,n_total,rm_in_top10
transvestite,0.691,0.603,0.603,,0.5489999999999999,1.0,10,False
transvestites,0.789,0.57475,0.57475,,0.45399999999999996,1.0,8,False
tribe,0.943,0.9045,0.9045,,0.898,1.0,10,True
tribes,0.934,0.9058999999999999,0.9058999999999999,,0.889,1.0,10,False
western,0.972,0.899,0.9295,,0.887,0.2,10,True
westerns,0.858,0.7428,,,,0.0,10,False
white,0.9109999999999999,0.8656,0.8681111111111111,,0.845,0.9,10,False
whiter,0.6409999999999999,0.6206,,,,0.0,10,False
whites,0.963,0.8577,0.8607142857142858,,0.8140000000000001,0.7,10,True
whitest,0.426,0.35359999999999997,0.4145,,0.40299999999999997,0.4,5,False
