,entity_id,term,text_1,text_2,text_3
20,white.s.05,negro,"['white', 'lily-white']",restricted to whites only,"['under segregation there were even white restrooms and white drinking fountains', 'a lily-white movement which would expel Negroes from the organization']"
21,thwart.v.01,queer,"['thwart', 'queer', 'spoil', 'scotch', 'foil', 'cross', 'frustrate', 'baffle', 'bilk']","hinder or prevent (the efforts, plans, or desires) of","[""What ultimately frustrated every challenger was Ruth's amazing September surge"", 'foil your opponent']"
22,negative.s.03,retarded,['negative'],having the quality of something harmful or unpleasant,"['ran a negative campaign', 'delinquents retarded by their negative outlook on life']"
23,pink.v.02,retarded,"['pink', 'ping', 'knock']",sound like a car engine that is firing too early,"['the car pinged when I put in low-octane gasoline', 'The car pinked when the ignition was too far retarded']"
24,irrawaddy.n.01,burma,"['Irrawaddy', 'Irrawaddy_River']",the main river of Myanmar rising in the north and flowing south through the length of Burma to empty into the Andaman Sea,[]
25,pepper.n.01,burma,"['pepper', 'common_pepper', 'black_pepper', 'white_pepper', 'Madagascar_pepper', 'Piper_nigrum']",climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam,[]
26,ubykh.n.01,caucasian,['Ubykh'],an extinct Caucasian language spoken exclusively in Turkey,[]
27,ethnocentric.a.01,ethnic groups,['ethnocentric'],"centered on a specific ethnic group, usually one's own",[]
28,tinker.n.02,gypsy,['tinker'],formerly a person (traditionally a Gypsy) who traveled from place to place mending pots and kettles and other metal utensils as a way to earn a living,[]
29,superstrate.n.02,indigenous,"['superstrate', 'superstratum']",the language of a later invading people that is imposed on an indigenous population and contributes features to their language,[]
30,balto-slavic.n.01,indo,"['Balto-Slavic', 'Balto-Slavic_language', 'Balto-Slavonic']",a family of Indo-European languages including the Slavic and Baltic languages,[]
31,jat.n.01,indo,['Jat'],a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs,[]
32,marston_moor.n.01,moor,['Marston_Moor'],a former moor in northern England,[]
33,neoplatonism.n.01,oriental,['Neoplatonism'],a system of philosophical and theological doctrines composed of elements of Platonism and Aristotelianism and oriental mysticism; its most distinctive doctrine holds that the first principle and source of reality transcends being and thought and is naturally unknowable,"['Neoplatonism was predominant in pagan Europe until the 6th century', 'Neoplatonism was a major influence on early Christian writers and on later medieval and Renaissance thought and on Islamic philosophy']"
34,bleached.s.02,colored,"['bleached', 'colored', 'coloured', 'dyed']",(used of color) artificially produced; not natural,['a bleached blonde']
35,locate.v.01,discover,"['locate', 'turn_up']",discover the location of; determine the place of; find by searching or examining,"['Can you locate your cousins in the Midwest?', 'My search turned up nothing']"
36,dryadella.n.01,dwarf,"['Dryadella', 'genus_Dryadella']",comprises tropical American species usually placed in genus Masdevallia: very dwarf plants having short tufted and usually unifoliate stems with usually solitary flowers,[]
37,absurd.s.02,page,"['absurd', 'cockeyed', 'derisory', 'idiotic', 'laughable', 'ludicrous', 'nonsensical', 'preposterous', 'ridiculous']",so unreasonable as to invite derision,"['the absurd excuse that the dog ate his homework', ""that's a cockeyed idea"", 'ask a nonsensical question and get a nonsensical answer', 'a contribution so small as to be laughable', 'it is ludicrous to call a cottage a mansion', 'a preposterous attempt to turn back the pages of history', 'her conceited assumption of universal interest in her rather dull children was ridiculous']"
38,supremacism.n.01,race,['supremacism'],the belief that some particular group or race is superior to all others,['white supremacism']
39,enslavement.n.01,slave,"['enslavement', 'captivity']",the state of being a slave; --Shakespeare,['So every bondman in his own hand bears the power to cancel his captivity']
40,indian_agent.n.01,tribe,['Indian_agent'],a representative of the federal government to American Indian tribes (especially on Indian reservations),[]
41,west_african.n.01,western,['West_African'],a group of languages spoken in the extreme western part of West Africa,[]
42,dichotomy.n.01,western,"['dichotomy', 'duality']",being twofold; a classification into two opposed parts or subclasses,['the dichotomy between eastern and western culture']
44,color_bar.n.01,white,"['color_bar', 'colour_bar', 'color_line', 'colour_line', 'Jim_Crow']",barrier preventing blacks from participating in various activities with whites,[]
