,term,hit_id,pwn_bow,cs_rm,cs_wm,cs_rm_wm
34,moors,burnous.n.01,"['arab', 'hooded', 'one', 'burnoose', 'burnouse', 'long', 'woven', 'wool', 'worn', 'burnous', 'cloak', 'moor']",0.46138827233378166,0.5555721539739695,0.49392783018877495
35,moors,granada.n.01,"['palace', 'alhambra', 'age', 'kingdom', 'fortress', 'middle', 'spain', 'captured', 'moor', 'attraction', 'moorish', 'granada', 'capital', 'major', 'city', 'ferdinand', 'tourist', 'southeastern', 'site', 'built', 'isabella']",0.8190141534800338,0.6905358918341591,0.8181197265857609
36,moors,ferdinand.n.01,"['ruled', 'marked', 'inquisition', 'capture', 'spanish', 'spain', 'christopher', 'instituted', 'expedition', 'moor', 'wife', 'supported', 'granada', 'castile', 'marriage', 'one', 'v', 'modern', 'catholic', 'state', 'aragon', 'jointly', 'united', 'ferdinand', 'columbus', 'beginning', 'king', 'isabella']",0.8146681644703407,0.651500024983007,0.8180972958235034
37,moors,cornish_heath.n.01,"['shrub', 'white', 'cultivated', 'cornwall', 'vagans', 'bushy', 'cornish', 'elsewhere', 'erica', 'moor', 'heath', 'pink', 'southwestern', 'common']",0.678117500774478,0.7303483983738992,0.7112214808434345
38,moors,broom_tree.n.01,"['anglica', 'shrub', 'europe', 'england', 'new', 'prickly', 'yellow', 'needle', 'broom', 'tree', 'moor', 'petty', 'furze', 'genista', 'flowered', 'whin']",0.5656425940872973,0.6352447705488077,0.6018109910903006
39,moor,moor.n.01,"['arab', 'north', 'one', 'spain', 'muslim', 'berber', 'converted', 'mixed', 'conqueror', 'moor', 'people', 'islam', 'century']",0.8779381924605554,0.8234711200193944,0.8814146863431546
40,moor,moor.n.02,"['usually', 'open', 'heather', 'soil', 'bracken', 'moor', 'land', 'covered', 'moss', 'peaty', 'moorland']",0.6671380634764617,0.6262462997621876,0.6843609523210742
41,moor,moor.v.01,"['secure', 'tie', 'dock', 'moor', 'berth', 'boat']",0.24222245146911403,0.28295669624046355,0.2540713299103316
42,moor,moor.v.02,"['big', 'wharf', 'wharfed', 'come', 'ship', 'dock', 'evening', 'moor', 'berth']",0.41683828567321535,0.46150083996600444,0.44293211344206795
43,moor,moor.v.03,"['secure', 'moor', 'rope', 'cable', 'boat']",0.3878733381940135,0.3810387888194389,0.4017610959413663
44,moor,marston_moor.n.01,"['former', 'england', 'marston', 'northern', 'moor']",0.6064853419264843,0.5649163532320713,0.5987759031586447
45,moor,converso.n.01,"['portugal', 'spain', 'expulsion', 'convert', 'medieval', 'order', 'converso', 'moor', 'professed', 'jew', 'avoid', 'persecution', 'christianity']",0.7995559981426063,0.6590670926948712,0.8095593118284267
46,moor,wharf.v.05,"['wharf', 'ship', 'wharfed', 'moor']",0.31512274330559054,0.312405237809612,0.3206932240896414
47,indians,kittee.n.01,"['squeezed', 'could', 'torture', 'kittee', 'indian', 'american', 'sensitive', 'two', 'used', 'victim', 'part', 'form', 'body', 'board', 'bear']",0.8326428153205918,0.781098864530719,0.8372362948806894
48,indians,lacrosse.n.01,"['throw', 'ball', 'carry', 'american', 'use', 'racket', 'two', 'goal', 'team', 'long', 'catch', 'lacrosse', 'handled', 'played', 'game', 'invented', 'toward']",0.59922459980038,0.5730797523875437,0.6102773237210736
49,indians,boston_tea_party.n.01,"['organized', 'disguised', 'protest', 'hundred', 'indian', 'tea', 'demonstration', 'citizen', 'dumped', 'party', 'chest', 'raided', 'harbor', 'boston', 'ship', 'british', 'three', 'tax']",0.7065938853678518,0.7189239216103374,0.7152882755267652
50,indians,quahog.n.02,"['edible', 'indian', 'round', 'american', 'hard', 'used', 'clam', 'money', 'venus', 'quahog', 'shell', 'quahaug', 'mercenaria', 'heavy']",0.6504425669395526,0.6550188991522484,0.65555973712451
51,indians,mapinguari.n.01,"['reportedly', 'sighted', 'creature', 'indian', 'sloth', 'human', 'sized', 'supposed', 'like', 'amazon', 'rain', 'mapinguari', 'forest']",0.7284629893626495,0.7135218848662859,0.7325797387639683
52,indians,tomahawk.n.01,"['tomahawk', 'north', 'indian', 'american', 'consisting', 'hatchet', 'fighting', 'used', 'weapon']",0.8174797761949592,0.7503649066401372,0.8112185101439321
53,indians,totem.n.02,"['family', 'clan', 'among', 'symbol', 'indian', 'object', 'consisting', 'serf', 'american', 'emblem', 'animal', 'totem', 'especially']",0.829916693361381,0.776799841828993,0.8278855105995455
54,indians,wickiup.n.01,"['united', 'wikiup', 'indian', 'american', 'consisting', 'southwestern', 'used', 'nomadic', 'matting', 'state', 'wickiup', 'covered', 'frame', 'lodge']",0.8813356398135268,0.819243264316783,0.8774736776534527
55,indians,indian_red.n.03,"['resembling', 'red', 'indian', 'american', 'soil', 'used', 'reddish', 'brown', 'color', 'body', 'paint']",0.6078388928208884,0.6032969487888082,0.6121990385651973
56,indians,potlatch.n.01,"['held', 'gift', 'accession', 'america', 'superior', 'sometimes', 'feast', 'marriage', 'impoverishment', 'wealth', 'new', 'formerly', 'display', 'host', 'tribesman', 'northwestern', 'north', 'ceremonial', 'indian', 'celebrating', 'give', 'coast', 'potlatch', 'others']",0.8444579212206452,0.8104333045030236,0.8489606354720638
57,indians,pemmican.n.01,"['pemican', 'north', 'indian', 'american', 'dried', 'fine', 'melted', 'pemmican', 'used', 'pounded', 'lean', 'mixed', 'especially', 'meat']",0.6781774743429767,0.6591040618085461,0.6781073743878756
58,indians,tribe.n.02,"['american', 'tribe', 'federation', 'indian']",0.7658064225907787,0.7806908019901108,0.7599214543487134
59,indians,quechua.n.02,"['empire', 'indian', 'american', 'quechua', 'ruling', 'incan', 'kechua', 'class', 'south', 'formerly', 'peru', 'community']",0.826756167210558,0.7948989422837988,0.8210379863307321
60,indians,indian_reservation.n.01,"['set', 'indian', 'use', 'reservation', 'aside']",0.7351431935868374,0.6732590413348234,0.7354610729993686
