resource,lang,lemma,entity_id,explicit_marker,value,level
wikidata,nl,ras,Q7129609,P31,Q2042898,3
wikidata,nl,ras,Q989255,P2559,for Middle-Earth peoples use Q17412916,2
wikidata,en,retarded,Q18394147,P31,Q22116852,3
wikidata,en,servant,Q10543172,P31,Q16335296,1
wikidata,en,servant,Q1075791,P31,Q16335296,1
wikidata,en,servant,Q303928,P31,Q16335296,1
wikidata,en,servant,Q855855,P31,Q16335296,3
wikidata,en,servant,Q3007620,P31,Q16335296,1
wikidata,en,servant,Q3032660,P31,Q16335296,1
wikidata,en,servant,Q5913718,P31,Q545779,1
wikidata,en,servant,Q1412722,P31,Q16335296,1
wikidata,nl,slaaf,Q12773225,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",3
wikidata,en,slave,Q10076267,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",1
wikidata,en,slave,Q1617492,P31,Q16335296,2
wikidata,en,slave,Q12773225,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",3
wikidata,en,slave,Q588083,P31,Q16335296,1
wikidata,en,slave,Q4666486,P31,Q545779,1
wikidata,en,traditional,Q113570992,P31,Q16335296,1
wikidata,en,trans,Q15711994,P2559,"This item is about a group of isomers and should be used in items describing a group of chemical entities, not a mixture of chemical entities (isomers)",1
wikidata,en,white,Q7129609,P31,Q2042898,3
wikidata,en,white,Q1066801,P31,Q545779,1
wikidata,en,white,Q95530210,P31,Q545779,1
wikidata,en,white,Q1135775,P31,Q545779,1
wikidata,en,white,Q45991,P31,Q1371427,1
wikidata,nl,wit,Q1135775,P31,Q545779,1
wikidata,nl,zigeuner,Q76475,P31,Q545779,3
wikidata,nl,zwart,Q1130557,P31,Q1371427,3
odwn,nl,exotisch,odwn-10-108298613-n,pragmatics_chronology,['oldfashioned'],1
odwn,nl,lilliputter,eng-30-10040344-n,pragmatics_connotation,['pejorative'],3
odwn,nl,homo,eng-30-10254965-n,pragmatics_connotation,['pejorative'],2
odwn,nl,homo,eng-30-10076033-n,pragmatics_connotation,"['pejorative', 'offensive']",2
odwn,nl,mongool,eng-30-10197525-n,pragmatics_connotation,"['pejorative', 'offensive']",3
odwn,nl,jap,odwn-10-103201483-n,pragmatics_connotation,['offensive'],3
odwn,nl,westers,eng-30-10386312-n,pragmatics_connotation,['pejorative'],1
odwn,nl,homoseksualiteit,eng-30-00856847-n,pragmatics_connotation,['pejorative'],3
odwn,nl,neger,eng-30-06201908-n,pragmatics_connotation,['pejorative'],2
odwn,nl,neger,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,neger,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
odwn,nl,afkomst,eng-30-07970721-n,pragmatics_chronology,['oldfashioned'],2
odwn,nl,blank,eng-30-05600637-n,pragmatics_chronology,['oldfashioned'],1
odwn,nl,blank,eng-30-05600637-n,pragmatics_connotation,['pejorative'],1
odwn,nl,knecht,eng-30-09815790-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,knecht,eng-30-09815790-n,pragmatics_connotation,['pejorative'],3
odwn,nl,jappenkamp,r_n-38586,pragmatics_connotation,['euphemistic'],2
odwn,nl,homoseksueel,eng-30-10076033-n,pragmatics_connotation,"['pejorative', 'offensive']",2
odwn,nl,stam,eng-30-07970721-n,pragmatics_chronology,['oldfashioned'],2
odwn,nl,zwart,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,zwart,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
odwn,nl,zwart,eng-30-09859038-n,pragmatics_connotation,['pejorative'],2
odwn,nl,zwart,odwn-10-103179400-n,pragmatics_connotation,['pejorative'],1
odwn,nl,zwart,eng-30-08549292-n,pragmatics_connotation,['pejorative'],1
odwn,nl,zwart,eng-30-01091905-n,pragmatics_chronology,['oldfashioned'],1
odwn,nl,traditioneel,r_n-41933,pragmatics_connotation,['pejorative'],1
odwn,nl,primitief,eng-30-10553402-n,pragmatics_connotation,['offensive'],3
odwn,nl,dwerg,eng-30-10040344-n,pragmatics_connotation,['pejorative'],3
odwn,nl,indisch,eng-30-02503517-n,pragmatics_connotation,['jocular'],2
odwn,nl,achterlijk,eng-30-10100761-n,pragmatics_connotation,"['pejorative', 'offensive']",1
odwn,nl,ras,odwn-10-105393011-n,pragmatics_connotation,['offensive'],1
odwn,nl,barbaar,eng-30-10553402-n,pragmatics_connotation,['offensive'],3
odwn,nl,barbaar,eng-30-00386390-v,pragmatics_chronology,['oldfashioned'],2
odwn,nl,barbaar,eng-30-10410815-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,barbaar,eng-30-10410815-n,pragmatics_connotation,"['pejorative', 'offensive']",3
odwn,nl,barbaar,eng-30-09879297-n,pragmatics_connotation,['pejorative'],3
odwn,nl,mohammedaan,odwn-10-107075238-n,pragmatics_chronology,['oldfashioned'],2
odwn,nl,moor,odwn-10-102610292-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,moor,eng-30-09638009-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,moor,eng-30-09638009-n,pragmatics_connotation,['offensive'],3
odwn,nl,gehandicapte,eng-30-05139094-n,pragmatics_chronology,['oldfashioned'],2
odwn,nl,gehandicapte,eng-30-10197525-n,pragmatics_connotation,"['pejorative', 'offensive']",3
odwn,nl,koelie,eng-30-10035809-n,pragmatics_connotation,['pejorative'],3
odwn,nl,kaffer,eng-30-10410815-n,pragmatics_chronology,['oldfashioned'],3
odwn,nl,kaffer,eng-30-10410815-n,pragmatics_connotation,"['pejorative', 'offensive']",3
odwn,nl,kaffer,odwn-10-100082478-n,pragmatics_connotation,['offensive'],3
odwn,nl,wit,eng-30-03672521-n,pragmatics_chronology,['oldfashioned'],1
aat,en,immigrant,300443480,termKind,"['Pejorative', 'Deprecated']",2
aat,en,indian,300310567,historicFlag,,1
aat,en,indian,300016954,historicFlag,,2
aat,en,indian,300016954,termKind,['AvoidUse'],2
aat,en,indian,300017557,historicFlag,,1
aat,en,indian,300017559,historicFlag,,1
aat,en,indian,300389906,historicFlag,,1
aat,en,indian,300011154,termKind,['JargonOrSlang'],1
aat,en,indian,300013641,historicFlag,,1
aat,en,indian,300017437,historicFlag,,3
aat,en,indian,300017437,termKind,['AvoidUse'],3
aat,en,indian,300013055,historicFlag,,1
aat,en,homo,300310690,termKind,['JargonOrSlang'],2
aat,en,hottentot,300016575,historicFlag,,3
aat,en,white,300261258,historicFlag,,1
aat,en,white,300250103,termKind,['JargonOrSlang'],1
aat,en,white,300310656,termKind,['JargonOrSlang'],1
aat,en,white,300404195,historicFlag,,1
aat,en,white,300380504,historicFlag,,1
aat,en,white,300264417,historicFlag,,1
aat,en,white,300013647,historicFlag,,1
aat,en,white,300310312,historicFlag,,1
aat,en,white,300013788,historicFlag,,1
aat,en,white,300012673,historicFlag,,1
aat,en,white,300343778,historicFlag,,1
aat,en,white,300390895,historicFlag,,1
aat,en,descent,300016575,historicFlag,,3
aat,en,mongoloid,300017437,historicFlag,,3
aat,en,mongoloid,300017437,termKind,['AvoidUse'],3
aat,en,mongoloid,300389818,termKind,['Deprecated'],2
aat,en,pygmy,300310411,historicFlag,,2
aat,en,pygmy,300310577,termKind,['JargonOrSlang'],1
aat,en,second world,300265774,historicFlag,,2
aat,en,native,300343602,historicFlag,,1
aat,en,native,300400499,historicFlag,,1
aat,en,native,300393173,historicFlag,,1
aat,en,native,300389906,historicFlag,,1
aat,en,native,300389908,historicFlag,,1
aat,en,native,300389683,historicFlag,,1
aat,en,native,300389684,historicFlag,,1
aat,en,native,300343716,historicFlag,,1
aat,en,native,300374834,historicFlag,,1
aat,en,native,300375344,historicFlag,,1
aat,en,native,300343680,historicFlag,,1
aat,en,native,300375682,termKind,['JargonOrSlang'],1
aat,en,native,300017455,termKind,['Pejorative'],3
aat,en,native,300016954,historicFlag,,2
aat,en,native,300016954,termKind,['AvoidUse'],2
aat,en,native,300386447,historicFlag,,1
aat,en,native,300266236,historicFlag,,1
aat,en,native,300250608,termKind,['JargonOrSlang'],1
aat,en,native,300374823,historicFlag,,1
aat,en,native,300017437,historicFlag,,3
aat,en,native,300017437,termKind,['AvoidUse'],3
aat,en,native,300310577,termKind,['JargonOrSlang'],1
aat,en,native,300343718,historicFlag,,1
aat,en,native,300343721,historicFlag,,1
aat,en,native,300389818,termKind,['Deprecated'],2
aat,en,native,300017557,historicFlag,,1
aat,en,native,300017559,historicFlag,,1
aat,en,native,300343778,historicFlag,,1
aat,en,native,300056500,historicFlag,,3
aat,en,native,300056500,termKind,['Pejorative'],3
aat,en,berber,300443574,historicFlag,,1
aat,en,roots,300343602,historicFlag,,1
aat,en,roots,300265699,historicFlag,,1
aat,en,western,300389906,historicFlag,,1
aat,en,western,300343680,historicFlag,,1
aat,en,western,300310373,historicFlag,,1
aat,en,western,300021930,historicFlag,,1
aat,en,western,300016566,historicFlag,,1
aat,en,western,300264400,historicFlag,,1
aat,en,western,300343721,historicFlag,,1
aat,en,western,300013561,historicFlag,,1
aat,en,western,300069057,historicFlag,,1
aat,en,western,300012673,historicFlag,,1
aat,en,western,300106854,historicFlag,,1
aat,en,western,300343778,historicFlag,,1
aat,en,aboriginal,300312155,historicFlag,,1
aat,en,eskimo,300017437,historicFlag,,3
aat,en,eskimo,300017437,termKind,['AvoidUse'],3
aat,en,eskimo,300389818,termKind,['Deprecated'],2
aat,en,eskimo,300017455,termKind,['Pejorative'],3
aat,en,hermaphrodite,300386060,termKind,['Deprecated'],3
aat,en,indo,300386794,historicFlag,,3
aat,en,oriental,300410382,historicFlag,,1
aat,en,oriental,300022022,historicFlag,,2
aat,en,oriental,300041759,historicFlag,,1
