,query_term,lang,odwn_le,odwn_sense_def,odwn_synset_def,odwn_sense_ex,odwn_total
0,politionele acties,nl,0,0,0,1,1
1,politionele actie,nl,0,0,0,0,0
2,birma,nl,2,0,0,1,3
3,exotische,nl,0,1,1,3,5
4,exotischere,nl,0,0,0,0,0
5,exotischer,nl,0,0,0,0,0
6,exotisch,nl,0,0,0,2,2
7,handicaps,nl,0,0,0,1,1
8,handicap,nl,5,2,2,8,17
9,medicijnmannen,nl,0,0,0,0,0
10,medicijnman,nl,1,0,0,0,1
11,lilliputters,nl,0,0,0,0,0
12,lilliputter,nl,1,0,0,0,1
13,homo's,nl,0,1,1,7,9
14,homo,nl,2,2,2,8,14
15,mongools,nl,2,0,0,0,2
16,mongolen,nl,0,0,0,0,0
17,mongool,nl,3,1,0,0,4
18,japs,nl,0,0,0,0,0
19,jappen,nl,0,0,0,0,0
20,jap,nl,1,0,0,0,1
21,islamieten,nl,0,0,0,1,1
22,islamiet,nl,1,1,0,0,2
23,westersere,nl,0,0,0,0,0
24,westerse,nl,0,0,0,12,12
25,westerser,nl,0,0,0,0,0
26,wester,nl,0,0,0,0,0
27,westerste,nl,0,0,0,0,0
28,westerst,nl,0,0,0,0,0
29,westers,nl,0,2,1,2,5
30,etniciteiten,nl,0,0,0,0,0
31,etniciteit,nl,1,0,0,0,1
32,homoseksualiteit,nl,2,0,0,0,2
33,negers,nl,0,3,2,1,6
34,neger,nl,2,2,2,0,6
35,bedienden,nl,0,0,0,0,0
36,bediendes,nl,0,0,0,0,0
37,bediend,nl,0,2,2,4,8
38,bediende,nl,2,7,6,10,25
39,hermafrodieten,nl,0,0,0,0,0
40,hermafrodiet,nl,2,0,0,0,2
41,inuit,nl,1,0,0,0,1
42,inuk,nl,0,0,0,0,0
43,indiaans,nl,1,0,0,0,1
44,indianen,nl,0,2,2,7,11
45,indiaan,nl,1,3,3,1,8
46,afkomsten,nl,0,0,0,0,0
47,afkomst,nl,4,6,6,9,25
48,blankst,nl,0,0,0,0,0
49,blanke,nl,1,6,5,9,21
50,blankste,nl,0,0,0,0,0
51,blankere,nl,0,0,0,0,0
52,blanker,nl,0,0,0,0,0
53,blanks,nl,0,0,0,0,0
54,blanken,nl,0,0,0,4,4
55,blank,nl,0,1,0,4,5
56,bombay,nl,1,0,0,0,1
57,knechten,nl,1,0,0,2,3
58,knechts,nl,0,0,0,0,0
59,knecht,nl,3,4,2,0,9
60,jappenkampen,nl,0,1,0,0,1
61,jappenkamp,nl,1,0,0,1,2
62,homoseksueels,nl,0,0,0,0,0
63,homoseksuelen,nl,0,2,1,0,3
64,homoseksueelst,nl,0,0,0,0,0
65,homoseksueelste,nl,0,0,0,0,0
66,homoseksueler,nl,0,0,0,0,0
67,homoseksuelere,nl,0,0,0,0,0
68,homoseksuele,nl,1,1,1,1,4
69,homoseksueel,nl,1,3,3,1,8
70,stammen,nl,1,1,1,9,12
71,stam,nl,6,5,5,10,26
72,oriëntaal,nl,0,0,0,0,0
73,oriëntaalsere,nl,0,0,0,0,0
74,oriëntaler,nl,0,0,0,0,0
75,oriëntaalste,nl,0,0,0,0,0
76,oriëntaalser,nl,0,0,0,0,0
77,oriëntale,nl,0,0,0,0,0
78,oriëntalere,nl,0,0,0,0,0
79,oriëntaalse,nl,0,0,0,0,0
80,oriëntaalst,nl,0,0,0,0,0
81,oriëntaals,nl,0,0,0,0,0
82,batavia,nl,0,0,0,1,1
83,halfbloeden,nl,0,0,0,0,0
84,halfbloed,nl,4,0,0,0,4
85,boslandcreolen,nl,0,0,0,0,0
86,boslandcreool,nl,0,0,0,0,0
87,queer,nl,0,0,0,0,0
88,zigeuners,nl,0,3,3,2,8
89,zigeuner,nl,2,0,0,2,4
90,bosnegers,nl,0,0,0,0,0
91,bosneger,nl,1,0,0,0,1
92,ontwikkelingslanden,nl,0,3,3,2,8
93,ontwikkelingsland,nl,2,1,0,1,4
94,zwartste,nl,0,0,0,0,0
95,zwarten,nl,0,0,0,5,5
96,zwartst,nl,0,0,0,0,0
97,zwartere,nl,0,0,0,0,0
98,zwarte,nl,4,32,25,62,123
99,zwarter,nl,0,0,0,0,0
100,zwarts,nl,0,0,0,0,0
101,zwart,nl,3,17,16,26,62
102,traditioneelste,nl,0,0,0,0,0
103,traditioneels,nl,0,0,0,0,0
104,traditioneelst,nl,0,0,0,0,0
105,traditionelere,nl,0,0,0,0,0
106,traditionele,nl,0,3,3,11,17
107,traditioneler,nl,0,0,0,0,0
108,traditioneel,nl,0,6,3,2,11
109,mestiezen,nl,0,0,0,0,0
110,mesties,nl,1,0,0,0,1
111,primitieve,nl,0,2,2,1,5
112,primitiefste,nl,0,0,0,0,0
113,primitievere,nl,0,0,0,0,0
114,primitiefst,nl,0,0,0,0,0
115,primitiefs,nl,0,0,0,0,0
116,primitiever,nl,0,0,0,0,0
117,primitief,nl,1,2,3,0,6
118,ontdekken,nl,4,3,2,18,27
119,koppensnellers,nl,0,0,0,0,0
120,koppensneller,nl,2,0,0,0,2
121,lagelonenlanden,nl,0,0,0,0,0
122,lagelonenland,nl,0,0,0,0,0
123,inlanders,nl,0,0,0,1,1
124,inlander,nl,1,0,0,0,1
125,dwergen,nl,0,0,0,2,2
126,dwerg,nl,3,0,0,0,3
127,gaye,nl,0,0,0,0,0
128,gayer,nl,0,0,0,0,0
129,gayst,nl,0,0,0,0,0
130,gays,nl,0,0,0,0,0
131,gayste,nl,0,0,0,0,0
132,gay,nl,1,0,0,0,1
133,baboes,nl,0,0,0,0,0
134,baboe,nl,2,0,0,0,2
135,indische,nl,0,1,1,6,8
136,indischere,nl,0,0,0,0,0
137,indischer,nl,0,0,0,0,0
138,indisch,nl,0,4,3,2,9
139,berbers,nl,1,0,0,0,1
140,berber,nl,2,0,0,0,2
141,pygmeeën,nl,0,0,0,1,1
142,pygmee,nl,2,0,0,0,2
143,gekleurdste,nl,0,0,0,0,0
144,gekleurde,nl,0,4,4,4,12
145,gekleurdst,nl,0,0,0,0,0
146,gekleurder,nl,0,0,0,0,0
147,gekleurds,nl,0,0,0,0,0
148,gekleurdere,nl,0,0,0,0,0
149,gekleurd,nl,0,3,3,4,10
150,roots,nl,0,0,0,0,0
151,kaukasischer,nl,0,0,0,0,0
152,kaukasischere,nl,0,0,0,0,0
153,kaukasische,nl,1,0,0,0,1
154,kaukasisch,nl,0,0,0,0,0
155,achterlijkst,nl,0,0,0,0,0
156,achterlijkste,nl,0,0,0,0,0
157,achterlijker,nl,0,0,0,0,0
158,achterlijkheid,nl,2,0,0,0,2
159,achterlijkere,nl,0,0,0,0,0
160,achterlijken,nl,0,0,0,0,0
161,achterlijke,nl,2,0,0,1,3
162,achterlijks,nl,0,0,0,0,0
163,achterlijk,nl,0,0,0,0,0
164,mulatten,nl,0,0,0,0,0
165,mulat,nl,2,0,0,0,2
166,rast,nl,0,0,0,0,0
167,rassere,nl,0,0,0,0,0
168,rassen,nl,1,3,3,2,9
169,rasse,nl,0,0,0,0,0
170,rasser,nl,0,0,0,0,0
171,raste,nl,0,0,0,0,0
172,ras,nl,5,13,13,3,34
173,etnische groepen,nl,0,0,0,1,1
174,etnische groep,nl,0,0,0,0,0
175,eerste wereld,nl,0,0,0,0,0
176,aboriginals,nl,0,0,0,0,0
177,aboriginal,nl,1,0,0,0,1
178,travestieten,nl,0,0,0,0,0
179,travestiet,nl,1,0,0,0,1
180,barbaren,nl,0,0,0,2,2
181,barbaar,nl,4,0,0,1,5
182,derde wereld,nl,0,1,1,4,6
183,slaven,nl,2,4,4,2,12
184,slaaf,nl,5,2,3,5,15
185,primitivismen,nl,0,0,0,0,0
186,primitivisme,nl,0,0,0,0,0
187,eskimo's,nl,0,0,1,2,3
188,eskimo,nl,2,0,1,2,5
189,pages,nl,0,0,0,0,0
190,page,nl,2,0,0,0,2
191,zuid-rhodesië,nl,0,0,0,0,0
192,inboorlingen,nl,0,0,0,1,1
193,inboorling,nl,2,0,0,0,2
194,hottentotten,nl,0,0,0,0,0
195,hottentot,nl,1,0,0,0,1
196,calcutta,nl,1,0,0,1,2
197,indo's,nl,0,0,0,0,0
198,indo,nl,0,1,1,0,2
199,mohammedanen,nl,0,1,1,0,2
200,mohammedaan,nl,1,2,1,0,4
201,madras,nl,1,0,0,0,1
202,moors,nl,1,0,0,0,1
203,moren,nl,0,0,0,1,1
204,moor,nl,5,0,0,0,5
205,gehandicapten,nl,0,2,1,10,13
206,gehandicapte,nl,1,3,3,3,10
207,koelies,nl,0,0,0,0,0
208,koelie,nl,3,0,0,0,3
209,volbloeden,nl,0,0,0,0,0
210,volbloed,nl,1,0,0,1,2
211,metis,nl,0,0,0,0,0
212,métis,nl,0,0,0,0,0
213,marrons,nl,0,0,0,0,0
214,marron,nl,0,0,0,0,0
215,kaffers,nl,0,0,0,0,0
216,kaffer,nl,2,0,0,1,3
217,allochtoons,nl,0,0,0,0,0
218,allochtoner,nl,0,0,0,0,0
219,allochtone,nl,0,0,0,0,0
220,allochtonere,nl,0,0,0,0,0
221,allochtoonst,nl,0,0,0,0,0
222,allochtoonste,nl,0,0,0,0,0
223,allochtonen,nl,0,0,0,5,5
224,allochtoon,nl,2,0,0,0,2
225,tweede wereld,nl,0,0,0,0,0
226,wits,nl,0,0,0,0,0
227,witten,nl,4,0,0,3,7
228,witte,nl,0,22,21,74,117
229,witter,nl,0,1,1,0,2
230,wittere,nl,0,0,0,0,0
231,witst,nl,0,0,0,0,0
232,witste,nl,0,0,0,0,0
233,wit,nl,3,19,14,32,68
234,inheemsere,nl,0,0,0,0,0
235,inheemste,nl,0,0,0,0,0
236,inheemse,nl,0,2,2,2,6
237,inheemst,nl,0,0,0,0,0
238,inheemser,nl,0,0,0,0,0
239,inheems,nl,0,0,0,0,0
240,transen,nl,0,0,0,0,0
241,trans,nl,3,0,0,2,5
