lemma,term,lang,n_entities
gekleurd,gekleurde,nl,99
gekleurd,gekleurdst,nl,0
gekleurd,gekleurder,nl,0
gekleurd,gekleurds,nl,0
gekleurd,gekleurdere,nl,0
gekleurd,gekleurd,nl,88
roots,roots,nl,0
kaukasisch,kaukasischer,nl,0
kaukasisch,kaukasischere,nl,0
kaukasisch,kaukasische,nl,6
kaukasisch,kaukasisch,nl,2
achterlijk,achterlijkst,nl,0
achterlijk,achterlijkste,nl,0
achterlijk,achterlijker,nl,0
achterlijk,achterlijkheid,nl,1
achterlijk,achterlijkere,nl,0
achterlijk,achterlijken,nl,1
achterlijk,achterlijke,nl,0
achterlijk,achterlijks,nl,0
achterlijk,achterlijk,nl,0
mulat,mulatten,nl,1
mulat,mulat,nl,0
ras,rast,nl,0
ras,rassere,nl,0
ras,rassen,nl,9
ras,rasse,nl,0
ras,rasser,nl,0
ras,raste,nl,0
ras,ras,nl,18
etnische groep,etnische groepen,nl,7
etnische groep,etnische groep,nl,427
eerste wereld,eerste wereld,nl,0
aboriginal,aboriginals,nl,13
aboriginal,aboriginal,nl,7
travestiet,travestieten,nl,2
travestiet,travestiet,nl,0
barbaar,barbaren,nl,0
barbaar,barbaar,nl,0
derde wereld,derde wereld,nl,2
slaaf,slaven,nl,14
slaaf,slaaf,nl,3
primitivisme,primitivismen,nl,0
primitivisme,primitivisme,nl,4
eskimo,eskimo's,nl,2
eskimo,eskimo,nl,12
page,pages,nl,1
page,page,nl,2
zuid-rhodesië,zuid-rhodesië,nl,0
inboorling,inboorlingen,nl,0
inboorling,inboorling,nl,0
hottentot,hottentotten,nl,2
hottentot,hottentot,nl,0
calcutta,calcutta,nl,2
indo,indo's,nl,0
indo,indo,nl,33
mohammedaan,mohammedanen,nl,1
mohammedaan,mohammedaan,nl,0
madras,madras,nl,3
moor,moors,nl,5
moor,moren,nl,3
moor,moor,nl,3
gehandicapte,gehandicapten,nl,11
gehandicapte,gehandicapte,nl,3
koelie,koelies,nl,0
koelie,koelie,nl,0
volbloed,volbloeden,nl,0
volbloed,volbloed,nl,0
métis,metis,nl,1
métis,métis,nl,0
marron,marrons,nl,0
marron,marron,nl,0
kaffer,kaffers,nl,0
kaffer,kaffer,nl,0
allochtoon,allochtoons,nl,0
allochtoon,allochtoner,nl,0
allochtoon,allochtone,nl,0
allochtoon,allochtonere,nl,0
allochtoon,allochtoonst,nl,0
allochtoon,allochtoonste,nl,0
allochtoon,allochtonen,nl,0
allochtoon,allochtoon,nl,0
tweede wereld,tweede wereld,nl,0
wit,wits,nl,0
wit,witten,nl,2
wit,witte,nl,294
wit,witter,nl,1
wit,wittere,nl,0
wit,witst,nl,0
wit,witste,nl,0
wit,wit,nl,411
inheems,inheemsere,nl,0
inheems,inheemste,nl,0
inheems,inheemse,nl,229
inheems,inheemst,nl,0
inheems,inheemser,nl,0
inheems,inheems,nl,511
trans,transen,nl,1
trans,trans,nl,2
