,term,URI,aat_bow,cs_rm,cs_wm,cs_rm_wm
14,birma,300410260,"['shan', 'schrijven', 'oosten', 'bebossen', 'leven', 'wonen', 'provincie', 'myanmar', 'omgeven', 'noordwesten', 'ruwen', 'aziatisch', 'eigen', 'heuvel', 'yunnan', 'cultuur', 'theravada', 'birma', 'chinees', 'berg', 'talen', 'minderheidsgroep', 'vorm', 'lage', 'boeddhist', 'plateau', 'meesten', 'literatuur', 'groot', 'mens', 'birmese', 'zuidoost', 'voornamelijk']",0.6243421157213845,0.7644010486523507,0.785838685361748
15,birma,300386148,"['laos', 'china', 'grondgebied', 'india', 'myanmar', 'maleisië', 'indochinees', 'vietnam', 'nationaliteit', 'huidig', 'regio', 'tussen', 'cambodja', 'cultuur', 'birma', 'land', 'thailand']",0.8146868512450703,0.6698222508036145,0.812006322120209
16,birma,300266481,"['vroeg', 'omvatten', 'afghanistan', 'verwijzen', 'gebieden', 'pakistan', 'stijl', 'azië', 'land', 'vallen', 'afrika', 'uitgestrekte', 'cultuur', 'birma', 'midden', 'india', 'noordoosten', 'oosters', 'zuidwest', 'term']",0.7564098368535654,0.7468579132071802,0.8353130352354011
17,birma,300012262,"['filippijnen', 'indonesië', 'deel', 'azië', 'kernhout', 'kleuren', 'paneel', 'bomen', 'soort', 'botenbouw', 'vloer', 'geelachtig', 'birma', 'thailand', 'bruin', 'plafondplaat', 'terwijl', 'houten', 'hopea', 'groot', 'olijfbruin', 'gebruikt', 'scheeps', 'behoren', 'zuidoost', 'merawanhout', 'inheems', 'spinnen', 'vasteland']",0.5355034011295531,0.6515474678238666,0.6713589296923694
18,birma,300011121,"['wanneer', 'waardevol', 'vinden', 'jadeïet', 'monoclien', 'mineraal', 'variant', 'jade', 'afsnijden', 'hoofdzakelijk', 'bevatten', 'birma', 'natriumaluminiumsilicaat']",0.4559457027791212,0.5836976022527443,0.5904743165657357
19,birma,300012453,"['fineer', 'leed', 'vrijwel', 'hoogwaardig', 'materiaal', 'grandis', 'donkerbruin', 'variëren', 'vlek', 'vagen', 'schrijnwerk', 'kleuren', 'bomen', 'teak', 'soort', 'java', 'birma', 'thailand', 'zwarte', 'tectona', 'teakhout', 'houten', 'scheepsbouw', 'interieuronderdelen', 'goudbruin', 'behoren', 'inheems', 'geuren']",0.41692115149135894,0.5597269123083196,0.5568640669653168
20,exotische,300263144,"['avontuurlijk', 'verhaallijn', 'hoofdpersoon', 'locatie', 'handeling', 'stripverhaal', 'avonturenstripverhalen', 'exotisch', 'avonturenstrips', 'hoofdzakelijk', 'reizen', 'situeren', 'vaak', 'avonturenstripverhaal']",0.0,0.8384520741567881,0.8384520741567881
21,exotische,300020935,"['kunst', 'motief', 'noemen', 'kenmerken', 'afzetten', 'symboliek', 'nieuw', 'bladachtig', 'bewust', 'manuel', 'reizen', 'architectuur', 'groeien', 'weelderig', 'verwijzen', 'eind', 'inventief', 'ornament', 'exotisch', 'stijl', 'portugal', 'eeuw', 'komen', 'waaronder', 'vermenging', 'portugees', 'laatgotisch', 'nationaal', 'kolonie', 'bestaan', 'verwijzing', 'thema', 'vooral', 'bloeien', 'koningin', 'nautisch', 'midden', 'overdadig', 'emanuelstijl', 'uiting', 'spaans', 'vanaf', 'islamitisch']",0.0,0.8163356703394412,0.8163356703394412
22,exotische,300265043,"['taart', 'banketjes', 'vrucht', 'duren', 'voorwerp', 'exotisch', 'serviesgoed', 'opstelling', 'typisch', 'overvloedig', 'oester', 'versieren', 'type', 'hoge', 'kreeft', 'bevatten', 'korst', 'banket', 'levensmiddel', 'banketgens', 'stilleven']",0.0,0.7546405702133612,0.7546405702133612
23,exotische,300106984,"['oriëntaliserend', 'verwijzen', 'motief', 'twee', 'hebben', 'ingenomen', 'oriëntaliserende', 'geometrisch', 'periode', 'kromlijnig', 'fase', 'exotisch', 'plaats', 'vroeg', 'stijl', 'patroon', 'thema', 'rijpen']",0.0,0.7422596164139396,0.7422596164139396
