lemma,term,lang,wd_prefLabel,wd_aliases,wd_description,total
lilliputter,lilliputters,nl,0,0,0,0
lilliputter,lilliputter,nl,1,2,0,3
homo,homo's,nl,0,0,2,2
homo,homo,nl,83,28,3121,3232
mongool,mongools,nl,26,5,49,80
mongool,mongolen,nl,10,1,0,11
mongool,mongool,nl,0,1,0,1
jap,japs,nl,1,0,0,1
jap,jappen,nl,1,0,0,1
jap,jap,nl,24,3,0,27
islamiet,islamieten,nl,0,1,0,1
islamiet,islamiet,nl,0,1,0,1
westers,westersere,nl,0,0,0,0
westers,westerse,nl,34,16,29,79
westers,westerser,nl,0,0,0,0
westers,wester,nl,100,27,49,176
westers,westerste,nl,0,0,0,0
westers,westerst,nl,0,0,0,0
westers,westers,nl,5,1,2,8
etniciteit,etniciteiten,nl,0,0,0,0
etniciteit,etniciteit,nl,2,2,10,14
homoseksualiteit,homoseksualiteit,nl,20,1,4,25
neger,negers,nl,3,2,0,5
neger,neger,nl,27,3,8,38
bediende,bedienden,nl,13,1,0,14
bediende,bediendes,nl,0,0,0,0
bediende,bediend,nl,5,0,5,10
bediende,bediende,nl,59,5,139,203
hermafrodiet,hermafrodieten,nl,0,0,0,0
hermafrodiet,hermafrodiet,nl,4,1,0,5
inuk,inuit,nl,14,4,3,21
inuk,inuk,nl,4,1,0,5
indiaan,indiaans,nl,2,2,6,10
indiaan,indianen,nl,21,6,12,39
indiaan,indiaan,nl,9,0,9165,9174
afkomst,afkomsten,nl,0,0,0,0
afkomst,afkomst,nl,4,12,126,142
blank,blankst,nl,0,0,0,0
blank,blanke,nl,25,5,4,34
blank,blankste,nl,0,0,0,0
blank,blankere,nl,0,0,0,0
blank,blanker,nl,3,0,0,3
blank,blanks,nl,6,0,1,7
blank,blanken,nl,18,3,2,23
blank,blank,nl,75,13,28,116
bombay,bombay,nl,82,20,105,207
knecht,knechten,nl,4,0,0,4
knecht,knechts,nl,5,1,0,6
knecht,knecht,nl,52,6,4,62
jappenkamp,jappenkampen,nl,0,1,0,1
jappenkamp,jappenkamp,nl,3,0,3,6
homoseksueel,homoseksueels,nl,0,0,0,0
homoseksueel,homoseksuelen,nl,3,0,3,6
homoseksueel,homoseksueelst,nl,0,0,0,0
homoseksueel,homoseksueelste,nl,0,0,0,0
homoseksueel,homoseksueler,nl,0,0,0,0
homoseksueel,homoseksuelere,nl,0,0,0,0
homoseksueel,homoseksuele,nl,6,1,3,10
homoseksueel,homoseksueel,nl,2,3,5,10
stam,stammen,nl,13,7,12,32
stam,stam,nl,43,13,149,205
oriëntaals,oriëntaal,nl,0,0,0,0
oriëntaals,oriëntaalsere,nl,0,0,0,0
oriëntaals,oriëntaler,nl,0,0,0,0
oriëntaals,oriëntaalste,nl,0,0,0,0
oriëntaals,oriëntaalser,nl,0,0,0,0
oriëntaals,oriëntale,nl,0,0,0,0
oriëntaals,oriëntalere,nl,0,0,0,0
oriëntaals,oriëntaalse,nl,5,1,0,6
oriëntaals,oriëntaalst,nl,0,0,0,0
oriëntaals,oriëntaals,nl,10,1,3,14
batavia,batavia,nl,89,21,44,154
halfbloed,halfbloeden,nl,0,0,0,0
halfbloed,halfbloed,nl,4,1,0,5
boslandcreool,boslandcreolen,nl,0,0,0,0
boslandcreool,boslandcreool,nl,0,1,0,1
queer,queer,nl,71,0,28,99
zigeuner,zigeuners,nl,17,5,0,22
zigeuner,zigeuner,nl,11,1,0,12
bosneger,bosnegers,nl,0,1,0,1
bosneger,bosneger,nl,0,1,0,1
ontwikkelingsland,ontwikkelingslanden,nl,1,3,5,9
ontwikkelingsland,ontwikkelingsland,nl,1,0,1,2
zwart,zwartste,nl,0,0,0,0
zwart,zwarten,nl,6,1,0,7
zwart,zwartst,nl,0,0,0,0
zwart,zwartere,nl,0,0,0,0
zwart,zwarte,nl,732,176,68,976
zwart,zwarter,nl,0,0,0,0
zwart,zwarts,nl,7,10,1,18
zwart,zwart,nl,312,49,162,523
traditioneel,traditioneelste,nl,0,0,0,0
traditioneel,traditioneels,nl,0,0,0,0
traditioneel,traditioneelst,nl,0,0,0,0
traditioneel,traditionelere,nl,0,0,0,0
traditioneel,traditionele,nl,287,40,129,456
traditioneel,traditioneler,nl,0,0,0,0
traditioneel,traditioneel,nl,99,20,139,258
mesties,mestiezen,nl,0,1,0,1
mesties,mesties,nl,2,0,0,2
primitief,primitieve,nl,18,3,4,25
primitief,primitiefste,nl,0,0,0,0
primitief,primitievere,nl,0,0,0,0
primitief,primitiefst,nl,0,0,0,0
primitief,primitiefs,nl,0,0,0,0
primitief,primitiever,nl,0,0,0,0
primitief,primitief,nl,9,5,3,17
ontdekken,ontdekken,nl,14,0,1,15
koppensneller,koppensnellers,nl,2,0,0,2
koppensneller,koppensneller,nl,0,0,0,0
lagelonenland,lagelonenlanden,nl,0,0,0,0
lagelonenland,lagelonenland,nl,1,0,0,1
inlander,inlanders,nl,2,0,0,2
inlander,inlander,nl,2,2,10,14
dwerg,dwergen,nl,15,7,4,26
dwerg,dwerg,nl,49,13,73,135
