,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
776,barbaar,eng-30-09879297-n,"['beest', 'plagen', 'ander', 'sarren', 'bullebak', 'kwelgeest', 'pestkop', 'onmens', 'treiteraar', 'zuigen', 'plaagal', 'plaaggeest', 'monsteren', 'bloedhond', 'bruut', 'schelm', 'nero', 'beestmens', 'plaagstok', 'wreedaard', 'beul', 'barbaar', 'pesten', 'man', 'hooligan', 'kwelduivel', 'schurk', 'onvriendelijk']",0.9511794299475652,0.4538713694961489,0.9285659236550402
775,barbaar,eng-30-10410815-n,"['heikneuter', 'grobbejanus', 'zeer', 'boerenhufter', 'boerenkarhengst', 'lomperik', 'primitieveling', 'kaffer', 'stommeling', 'onhandig', 'boerenlul', 'onbeschaafd', 'boeren', 'prehistorisch', 'proleet', 'boerenkinkel', 'rouwdouwer', 'kinkel', 'boerenpummel', 'woudezel', 'lomperd', 'vlegel', 'persoon', 'boerenkaffer', 'botterik', 'onbeschoft', 'raudauwer', 'palurk', 'hufter', 'hork', 'barbaar', 'plebejer', 'manier', 'plomperd', 'mens', 'pummel', 'rouwdouw', 'onbeleefd']",0.9239371405858156,0.5645411843331457,0.9232370270270484
777,barbaar,eng-30-10553402-n,"['woesteling', 'persoon', 'bloeddorstig', 'barbaar', 'wild', 'natuurmens', 'voetbaltribune', 'natuurliefhebber', 'kannibaal', 'schoppen', 'primitief', 'hond']",0.9093693311009996,0.5586824644142817,0.9107293650243632
774,barbaar,eng-30-10390902-n,['barbaar'],0.7130663867481868,0.4930790681558256,0.7101464384766134
772,barbaren,eng-30-10553402-n,"['woesteling', 'persoon', 'bloeddorstig', 'barbaar', 'wild', 'natuurmens', 'voetbaltribune', 'natuurliefhebber', 'kannibaal', 'schoppen', 'primitief', 'hond']",0.9093693311009996,0.5586824644142817,0.9107293650243632
773,barbaren,eng-30-00386390-v,"['barbaar', 'kerstenen', 'bekeren']",0.6911312846505347,0.6040270711708591,0.7192719338243808
316,batavia,eng-30-00306426-n,"['gang', 'kilometer', 'oostzee', 'wereld', 'ergens', 'vijf', 'rond', 'trektocht', 'tour', 'barre', 'hoorn', 'heen', 'trip', 'dag', 'maken', 'reizen', 'batavia', 'tocht']",0.3861799176712377,0.5371068602079204,0.5327613185565453
113,bediend,eng-30-05892651-n,"['hoge', 'topsport', 'lichaam', 'stel', 'betamelijkheid', 'aanmerking', 'volgens', 'tafelen', 'menselijk', 'eerst', 'stellen', 'aantal', 'dienen', 'komen', 'dame', 'fietsen', 'voorwaarde', 'bedienen', 'eisen', 'voldoen', 'goed']",0.7844299716311499,0.6215927451218206,0.7843706208536634
114,bediend,odwn-10-109911010-n,"['bedienen', 'aanspreken', 'gerant', 'winkelbediende']",0.7771034177892847,0.6126989709877337,0.7616488835750547
115,bediend,odwn-10-106745436-v,"['hoeven', 'bedienen', 'wenk', 'knippen', 'vinger']",0.4845381426244227,0.4951655852420022,0.5016528661318899
