,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
769,aboriginal,aboriginal,odwn-10-101180571-n,"['bewoner', 'aboriginal', 'australië', 'oorspronkelijk']",0.7196342336849351,0.712178103320847,0.7363061577211031
706,achterlijk,achterlijkheid,achterlijkheid-n-1,"['zwakzinnigheid', 'achterlijkheid']",0.8427559775170108,0.5704126069206626,0.8354387192643195
705,achterlijk,achterlijkheid,eng-30-05646218-n,['achterlijkheid'],0.8392886449015592,0.5574239447380871,0.8284000513925039
709,achterlijk,achterlijke,eng-30-09921409-n,"['lobbes', 'persoon', 'meeuw', 'sukkel', 'goedzak', 'idioot', 'bepalen', 'venten', 'witten', 'achterlijk', 'dwaas', 'vogel', 'goed', 'sul', 'grijze', 'goedig']",0.7041256858579967,0.5672810212478726,0.7287067808348352
710,achterlijk,achterlijke,eng-30-10100761-n,"['idioot', 'onverstandig', 'achterlijk', 'imbeciel', 'halvezool', 'stommeling', 'debiel', 'mafkees', 'zot', 'piechem', 'raar', 'mafkikker', 'persoon', 'kwibus', 'gek', 'malloot', 'druif', 'mafketel', 'nar', 'lijp', 'lijpo', 'dwaas', 'dom']",0.3614653692926576,0.4844702575422728,0.4394860469944758
173,afkomst,afkomst,eng-30-08510456-n,"['plaats', 'haard', 'herkomst', 'oorsprong', 'komen', 'komaf', 'afkomst', 'waar', 'kraamkamer', 'ontstaan', 'bakermat', 'ontstaansplek', 'origine', 'vandaan', 'wiegen']",0.9425037076991934,0.7278792204352509,0.9368923358230458
174,afkomst,afkomst,eng-30-04923743-n,"['verloochenen', 'herkomst', 'geografisch', 'oorsprong', 'komaf', 'afkomst', 'latijns', 'bepalen', 'etnisch', 'woord', 'startpunt', 'grieks', 'begin', 'afstamming', 'geboorte', 'russisch', 'descendentie']",0.8784261149238799,0.6512069645750089,0.8750188971824076
184,afkomst,afkomst,eng-30-07970721-n,"['stam', 'deel', 'rijk', 'al', 'voornaam', 'afkomst', 'staken', 'aanzienlijk', 'bourbon', 'bloedverwant', 'oud', 'nobel', 'gemeenschappelijk', 'adellijk', 'familie', 'tak', 'familietak', 'één', 'huis', 'behoren', 'verzameling', 'mens', 'slachten', 'stammen', 'maagschap']",0.867047062123103,0.632593540118557,0.8593898517028409
171,afkomst,afkomst,eng-30-06009086-n,"['oorsprong', 'herkomst', 'afkomst']",0.8120353884362992,0.5830102140772575,0.8012779761647317
186,afkomst,afkomst,odwn-10-106166180-v,"['adellijk', 'afkomst', 'slordigheid', 'koketteren', 'pralen']",0.8111739155602571,0.6049821500425357,0.8092896466021348
180,afkomst,afkomst,odwn-10-104552692-v,"['adellijk', 'laten', 'hebben', 'stevig', 'vrouw', 'afkomst', 'voorstaan', 'erop', 'beroemen', 'emancipatie', 'talent', 'organisatie', 'bent', 'bijdragen']",0.7922331937650897,0.6901625971482572,0.813606069570544
188,afkomst,afkomst,eng-30-01774799-v,"['depreciëren', 'neerkijken', 'vanwege', 'minachten', 'afkomst', 'verachten', 'vinden', 'neerzien', 'geringschatten', 'minderwaardig']",0.7904956750163289,0.6581637537290438,0.8000003861596371
189,afkomst,afkomst,eng-30-10577284-n,"['kopen', 'beroepsmatig', 'verkoperen', 'beiden', 'afkomst', 'bevinden', 'winkelen', 'handelaar', 'twee', 'fransman', 'volgens', 'tijdstip', 'noemen', 'koperen', 'verkopen', 'marketeer', 'eigen', 'pas', 'getekend', 'verkoper', 'man', 'zeggen', 'geldig']",0.7593709889388364,0.6931577750612753,0.7841330694598949
185,afkomst,afkomst,eng-30-10157549-n,"['persoon', 'kleurling', 'afkomst', 'verschillende', 'ras', 'kind', 'halfbloed', 'gemengd']",0.7471392782632064,0.5562432129842597,0.7458667812240454
183,afkomst,afkomst,odwn-10-107675980-v,"['broer', 'schamen', 'afkomst', 'generen']",0.7408539642222562,0.6550965179188221,0.7612393618052951
894,allochtoon,allochtonen,odwn-10-101546688-n,"['integratie', 'nederlands', 'immigrante', 'allochtoon', 'samenleving']",0.8924146825660935,0.7265013346749977,0.8703616903911842
898,allochtoon,allochtonen,eng-30-01237415-n,"['integratie', 'inburgering', 'ons', 'slag', 'cultuur', 'europees', 'bevorderen', 'één', 'verlopen', 'samengaan', 'stoten', 'allochtoon']",0.7675208957925205,0.7012349754516234,0.7997662455419532
896,allochtoon,allochtonen,eng-30-13427078-n,"['adaptatie', 'assimilatie', 'moeizaam', 'resultaat', 'wijzigen', 'modificatie', 'accommodatie', 'cultuur', 'proces', 'aanpassing', 'gedwongen', 'verlopen', 'soms', 'allochtoon', 'nederlands']",0.7604903938293516,0.762740259061928,0.8292671065833448
899,allochtoon,allochtoon,eng-30-09484465-n,"['vluchteling', 'vreemdelinge', 'allochtoon']",0.7491308883454633,0.6609776415193213,0.7450159180875312
895,allochtoon,allochtonen,eng-30-13980288-n,"['vijandigheid', 'animositeit', 'hostiliteit', 'heersen', 'jegens', 'vijandschap', 'klas', 'vijandin', 'tussen', 'onderling', 'vijandig', 'houding', 'sfeer', 'allochtoon', 'echtman']",0.7403509383939151,0.6503523541771741,0.7559818430744192
897,allochtoon,allochtonen,eng-30-07959269-n,"['opeenhoping', 'conglomeraat', 'probleemwijkende', 'ophoping', 'verzameling', 'gevormde', 'opstopping', 'vinden', 'groot', 'verkeers', 'congestie', 'probleemwijk', 'hopen', 'concentratie', 'allochtoon']",0.6266058321876108,0.7278907489200256,0.7323452698298701
644,baboe,baboe,odwn-10-106744972-n,"['indië', 'oppas', 'baboe', 'nederlands']",0.6926906157689946,0.3724010623755637,0.5658572124335951
643,baboe,baboe,eng-30-09827246-n,['baboe'],0.3773090880010594,0.2309964086431457,0.2793404865692786
776,barbaar,barbaar,eng-30-09879297-n,"['beest', 'plagen', 'ander', 'sarren', 'bullebak', 'kwelgeest', 'pestkop', 'onmens', 'treiteraar', 'zuigen', 'plaagal', 'plaaggeest', 'monsteren', 'bloedhond', 'bruut', 'schelm', 'nero', 'beestmens', 'plaagstok', 'wreedaard', 'beul', 'barbaar', 'pesten', 'man', 'hooligan', 'kwelduivel', 'schurk', 'onvriendelijk']",0.9511794299475652,0.4538713694961489,0.9285659236550402
775,barbaar,barbaar,eng-30-10410815-n,"['heikneuter', 'grobbejanus', 'zeer', 'boerenhufter', 'boerenkarhengst', 'lomperik', 'primitieveling', 'kaffer', 'stommeling', 'onhandig', 'boerenlul', 'onbeschaafd', 'boeren', 'prehistorisch', 'proleet', 'boerenkinkel', 'rouwdouwer', 'kinkel', 'boerenpummel', 'woudezel', 'lomperd', 'vlegel', 'persoon', 'boerenkaffer', 'botterik', 'onbeschoft', 'raudauwer', 'palurk', 'hufter', 'hork', 'barbaar', 'plebejer', 'manier', 'plomperd', 'mens', 'pummel', 'rouwdouw', 'onbeleefd']",0.9239371405858156,0.5645411843331457,0.9232370270270484
772,barbaar,barbaren,eng-30-10553402-n,"['woesteling', 'persoon', 'bloeddorstig', 'barbaar', 'wild', 'natuurmens', 'voetbaltribune', 'natuurliefhebber', 'kannibaal', 'schoppen', 'primitief', 'hond']",0.9093693311009996,0.5586824644142817,0.9107293650243632
774,barbaar,barbaar,eng-30-10390902-n,['barbaar'],0.7130663867481868,0.4930790681558256,0.7101464384766134
773,barbaar,barbaren,eng-30-00386390-v,"['barbaar', 'kerstenen', 'bekeren']",0.6911312846505347,0.6040270711708591,0.7192719338243808
316,batavia,batavia,eng-30-00306426-n,"['gang', 'kilometer', 'oostzee', 'wereld', 'ergens', 'vijf', 'rond', 'trektocht', 'tour', 'barre', 'hoorn', 'heen', 'trip', 'dag', 'maken', 'reizen', 'batavia', 'tocht']",0.3861799176712377,0.5371068602079204,0.5327613185565453
120,bediende,bediende,eng-30-10053808-n,"['bedienen', 'ergens', 'kantoorbediende', 'kracht', 'loontrekker', 'personeelslid', 'werkneemster', 'arbeidster', 'winkelen', 'loondienst', 'vermogen', 'betaling', 'jong', 'tewerkstellen', 'werken', 'arbeidskracht']",0.8972099741284184,0.6195261146691838,0.8733171045415379
122,bediende,bediende,eng-30-02396205-v,"['burgemeester', 'positie', 'bedienen', 'designeren', 'ambt', 'afwijzen', 'benoemen', 'verlenen', 'brengen', 'nieuw', 'functie', 'toekennen', 'wereldreiziger', 'aanstellen', 'aanwijzen', 'status', 'maken']",0.8093383361938612,0.6343111088521532,0.8064598694489495
113,bediende,bediend,eng-30-05892651-n,"['hoge', 'topsport', 'lichaam', 'stel', 'betamelijkheid', 'aanmerking', 'volgens', 'tafelen', 'menselijk', 'eerst', 'stellen', 'aantal', 'dienen', 'komen', 'dame', 'fietsen', 'voorwaarde', 'bedienen', 'eisen', 'voldoen', 'goed']",0.7844299716311499,0.6215927451218206,0.7843706208536634
114,bediende,bediend,odwn-10-109911010-n,"['bedienen', 'aanspreken', 'gerant', 'winkelbediende']",0.7771034177892847,0.6126989709877337,0.7616488835750547
121,bediende,bediende,eng-30-10582154-n,"['bedienen', 'livrei', 'huisbediende', 'hulp']",0.7498856502489445,0.5213848754984314,0.7184712936572905
138,bediende,bediende,odwn-10-105858995-v,"['bedienen', 'geven', 'werk', 'bank', 'één', 'tewerkstellen']",0.7411726088691496,0.5782363926964951,0.7315971560656848
124,bediende,bediende,odwn-10-103725642-v,"['taak', 'ziekenfonds', 'genoodzaakt', 'materieel', 'zien', 'job', 'defensie', 'afstoot', 'divisie', 'zorgtaak', 'banen', 'bedienen', 'leopardtank', 'draaiende', 'verliezen', 'fusie', 'enkele', 'stoot', 'wegdoen', 'afstoten', 'gaan']",0.7288428785285258,0.5692719967945442,0.7248415508009327
130,bediende,bediende,eng-30-00874537-v,"['bedienen', 'vertrouwen', 'inwerken', 'oriënteren', 'nieuw', 'functie', 'maken']",0.7265983489056598,0.6007999274977873,0.7243061152975484
135,bediende,bediende,odwn-10-101393848-n,"['huispersoneel', 'uniform', 'bedienen', 'livrei']",0.6804496605786252,0.5120322298236788,0.6588243849353163
133,bediende,bediende,eng-30-09928451-n,"['kantoorpik', 'bedienen', 'kantoorbediende', 'kantoor', 'klerk', 'commies']",0.6730895647499319,0.4397927707716738,0.6377216368532631
664,berber,berbers,Berbers-n-1,"['berbers', 'berber', 'talen']",0.7907735117689395,0.6097488167347948,0.7306048600381845
665,berber,berber,odwn-10-101847342-n,"['noord', 'berber', 'afrikaan']",0.6188060211097873,0.4158951228073321,0.5338657339181627
666,berber,berber,odwn-10-102482805-n,"['berbertapijt', 'berber', 'kleden', 'wollen', 'handgeknoopt']",0.4828332576714943,0.5691374984167686,0.5386786275012008
3,birma,birma,Birma-n-1,"['azië', 'land', 'birma']",0.9001762042163616,0.5002966823442703,0.7410006696765669
4,birma,birma,eng-30-07972425-n,"['middeleeuws', 'birma', 'feodaal', 'leenstelsel', 'bestuursstelsel', 'staatsbestel', 'feodalisme', 'bestrijden']",0.6168644408746917,0.7414602137926901,0.7674466945773456
2,birma,birma,eng-30-08715390-n,"['unie', 'myanmar', 'birma']",0.5824685332380096,0.3557963045826598,0.5003652696525164
197,blank,blanke,odwn-10-103541331-n,"['lang', 'hebben', 'recht', 'zwarte', 'apart', 'apartheid', 'houden', 'lichten', 'zuid', 'blanke', 'huidskleur', 'afrika', 'blank']",0.9318360915152214,0.778554485568195,0.9046956278777536
208,blank,blanke,odwn-10-103063347-n,"['overheersing', 'chinees', 'toestand', 'blank', 'onderdrukking']",0.8322811249427814,0.8003415313266286,0.8578866635626472
224,blank,blanken,eng-30-10157549-n,"['persoon', 'kleurling', 'zwarte', 'afkomst', 'verschillende', 'blanke', 'ras', 'kind', 'halfbloed', 'gemengd']",0.8249742105055191,0.6548006117714219,0.7904919938052962
228,blank,blank,eng-30-04752221-n,"['verdeling', 'maatschappelijk', 'ongelijkheid', 'sociaal', 'zwart', 'tussen', 'eigenschap', 'gelijken', 'blanken']",0.8115519552058712,0.8505270452736763,0.8674085452679405
225,blank,blanken,odwn-10-100481401-n,"['wetten', 'rechtsgelijkheid', 'kleurling', 'rechtszekerheid', 'gelijkheid', 'blanke']",0.7848281151912897,0.7964868964796149,0.8296397914748282
202,blank,blanke,eng-30-05238282-n,"['weefsellaag', 'lichaam', 'wild', 'vet', 'skinhead', 'vooral', 'onderhuid', 'speciaal', 'getaande', 'gevoelig', 'huiden', 'bedekken', 'huid', 'gebruinde', 'blank', 'crème', 'scheerschuim', 'dier', 'gerimpelde', 'drogen', 'gecombineerde', 'gaaf', 'bronzen', 'vellen', 'mens', 'donker']",0.7596548407467321,0.7296649542621186,0.7739582748679001
230,blank,blank,odwn-10-103281025-v,"['kei', 'staan', 'curatele', 'bollen', 'blanken', 'hoofd', 'zanger', 'springen', 'aangeschreven', 'bepalen', 'bloeien', 'branden', 'toestand', 'staat', 'palen', 'komen', 'wacht', 'fout', 'bank', 'verbinding', 'gek', 'bekennen', 'roeren', 'hoog', 'ponteneur', 'straat', 'streep', 'rechten', 'woord', 'duren', 'dubio', 'stapelen']",0.7592575578152514,0.7947342339197896,0.8038356055303946
209,blank,blanke,eng-30-09976551-n,"['afhankelijk', 'persoon', 'vrouw', 'ander', 'uitbuiten', 'slavin', 'slaaf', 'blank']",0.7498282812721996,0.6049193373380173,0.7258388765138912
205,blank,blanke,odwn-10-100513750-n,"['kruising', 'blank', 'mesties', 'indiaan']",0.7468463184303318,0.6395266752332364,0.7320227071006827
212,blank,blanke,volksdeel-n-1,"['volksdeel', 'zwarte', 'blank', 'bevolkingsgroep', 'joods']",0.7364450428346123,0.5929806993361262,0.7085127931098568
231,bombay,bombay,eng-30-08903872-n,"['bombay', 'mumbai']",0.2642766709114435,0.17682099677858604,0.20660922757520828
338,bosneger,bosneger,odwn-10-103272943-n,"['negerslaaf', 'bos', 'bosneger', 'vluchten']",0.7276477828082207,0.6330594862446115,0.7209642451724857
831,calcutta,calcutta,eng-30-08903636-n,"['calcutta', 'kolkata']",0.4971679722587221,0.20484936380655785,0.3642234386454943
832,calcutta,calcutta,odwn-10-107090790-n,"['druk', 'veroorzaken', 'straat', 'ontstaan', 'opschudding', 'tumult', 'calcutta']",0.3831878753219091,0.5409616787408479,0.5253486555656457
782,derde wereld,derde wereld,odwn-10-107188952-n,"['wereld', 'derde', 'ontwikkelingsproject', 'project', 'ontwikkeling']",0.7886308858453897,0.7030229087838573,0.7227372365781161
783,derde wereld,derde wereld,odwn-10-106126041-v,"['markt', 'willen', 'wereld', 'orgelen', 'promoten', 'organisator', 'derde', 'organiseren', 'bevorderen', 'dag', 'vooral', 'product']",0.7387248278532655,0.7262516726665309,0.7457615711712406
780,derde wereld,derde wereld,odwn-10-104668187-n,"['verrichten', 'wereld', 'werk', 'kinderarbeid', 'derde', 'kind']",0.710849072086871,0.6726599578298829,0.688295616528321
781,derde wereld,derde wereld,eng-30-09178999-n,"['aanzet', 'land', 'vrijwilligerswerk', 'nadeel', 'elkaar', 'willen', 'wereld', 'beweegreden', 'overweging', 'ergens', 'afweging', 'beweeggrond', 'drijfveer', 'iemand', 'toe', 'derde', 'opwegen', 'considerans', 'gronden', 'daad', 'motivatie', 'ratio', 'consideratie', 'zedelijk', 'rede', 'motief']",0.6500485260007569,0.7626442781880441,0.7675234329792264
779,derde wereld,derde wereld,eng-30-01207609-n,"['inroepen', 'hulp', 'zoeken', 'schieten', 'nodig', 'echter', 'humanitair', 'assistentie', 'dringend', 'zorgen', 'wereld', 'ongeluk', 'bedanken', 'professioneel', 'steunen', 'bijstand', 'medewerking', 'komen', 'verlenen', 'derde', 'hulpverlening', 'één', 'psychiater', 'laten', 'nood', 'assistent', 'samenwerken', 'buiten', 'helpen', 'redden', 'mens', 'vraag', 'oorlogsslachtoffer', 'ehbo', 'hulpbetoon', 'roep']",0.5948942018603937,0.6860141267340669,0.6955267574350451
634,dwerg,dwerg,eng-30-10040344-n,"['groeien', 'persoon', 'lilliputter', 'zeer', 'korten', 'mini', 'been', 'dwergin', 'belemmeren', 'arm']",0.9029401550792732,0.6650475711908267,0.8609644818323023
632,dwerg,dwergen,eng-30-03929202-n,"['marcheren', 'dwerg', 'scherpen', 'pikhouweel', 'zeef', 'puntig', 'punt', 'beitelen', 'houweel', 'werktuig', 'schouder', 'huis']",0.6665887849839055,0.5161594184310088,0.6477336624989943
631,dwerg,dwergen,eng-30-09541125-n,"['dwerg', 'sprookje', 'kabouter', 'sneeuwwitje', 'aardgeest', 'zeef', 'aardmannetje', 'klein', 'dwergachtig', 'man', 'gnoom', 'dwergin']",0.5754447502051407,0.34554306118753064,0.5179474565367229
633,dwerg,dwerg,eng-30-10496489-n,"['dwergin', 'pygmee']",0.19665525885373106,0.12050202771449077,0.17226373203977832
815,eskimo,eskimo's,visrecht-n-1,"['hen', 'visrecht', 'jaar', 'canadese', 'overheid', 'zes', 'visse', 'rechten', 'verlenen', 'volgende', 'eskimo', 'krijgen']",0.6757474980530725,0.5422091526970202,0.6761167153631834
818,eskimo,eskimo,eng-30-06918215-n,"['groenland', 'inwoner', 'eskimo']",0.5898525830357638,0.6379370769221057,0.5758789947819131
816,eskimo,eskimo's,eng-30-02109961-n,"['houden', 'sledehond', 'hond', 'eskimo']",0.402720087799395,0.4257490623057928,0.4028988991789447
814,eskimo,eskimo's,eng-30-03560430-n,"['wonen', 'nul', 'ijshut', 'gaan', 'sneeuwhut', 'hut', 'ijsblok', 'iglo', 'boven', 'temperatuur', 'eskimohut', 'smelten', 'eskimo']",0.376834808519824,0.4536952845838365,0.3827414786191846
817,eskimo,eskimo,eng-30-10063635-n,['eskimo'],0.2324048105382412,0.38267385861262104,0.21678933549521087
95,etniciteit,etniciteit,eng-30-04799133-n,['etniciteit'],0.8070785092281949,0.8290908569888068,0.8234984683098374
765,etnische groep,etnische groepen,odwn-10-107289312-n,"['lang', 'hernieuwen', 'vrede', 'stand', 'komen', 'etnisch', 'verschillende', 'tussen', 'overleg', 'regeringsleider', 'groep', 'brengen', 'verzoening']",0.8352394456776826,0.7475498680515253,0.8338819032119331
