,lemma,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
35,barbarian,barbarian,300106913.0,"['often', 'stylized', 'including', 'dot', 'inlay', 'barbarian', 'style', 'age', 'roman', 'sculpture', 'lombard', 'culture', 'characterized', 'classical', 'instead', 'isolated', 'object', 'illumination', 'produced', 'tribe', 'line', 'empire', 'medieval', 'garnet', 'cross', 'work', 'area', 'vandal', 'ostrogoth', 'jewelry', 'enamel', 'repetitive', 'refers', 'declining', 'portable', 'ornamental', 'pattern', 'evident', 'art', 'gold', 'departure', 'design', 'frank', 'metalsmiths', 'favor', 'chevron', 'manuscript', 'architecture', 'period', 'dark', 'influenced', 'overran', 'visigoth', 'teutonic', 'color', 'migrant', 'migration']",0.8013395031913021,0.7389364945914189,0.8297374791280131
36,barbarian,barbarian,300018585.0,"['japanese', 'painting', 'often', 'including', 'jesuit', 'people', 'barbarian', 'style', 'western', 'rosary', 'lacquer', 'century', 'produced', 'ship', 'theme', 'motif', 'merchant', 'cross', 'japan', 'religious', 'work', 'artist', 'folding', 'namban', 'found', 'european', 'traditonal', 'refers', 'depicting', 'southern', 'flask', 'art', 'taught', 'niccolo', 'imported', 'screen', 'giovanni', 'missionary', 'ware', 'include', 'priest', 'traditional', 'connected']",0.7770361935586334,0.7647849724454292,0.8146994269104748
1,batavia,batavia,300012925.0,"['referring', 'tradename', 'general', 'resin', 'jakarta', 'shipped', 'batavia', 'formerly', 'damar', 'indonesia', 'dammar', 'various', 'term']",0.539954755526339,0.7277985983362302,0.7276174653104254
3708,berber,berber,300263397.0,"['living', 'libya', 'berber', 'people', 'cyranainca', 'aoudjila', 'augila', 'aujila', 'style', 'awgila', 'awjilah', 'culture', 'northeast', 'awdjila', 'african', 'subgroup']",0.923138822531508,0.7022265426690398,0.889487055194217
3731,berber,berber,300263737.0,"['settled', 'berber', 'people', 'southern', 'livng', 'tunisia', 'style', 'culture', 'area', 'matmata']",0.8895266890966875,0.6667856284251225,0.8374766244902286
3744,berber,berber,300016595.0,"['tawarik', 'tourage', 'people', 'north', 'tamahaq', 'style', 'culture', 'twareg', 'touregs', 'tuariks', 'name', 'living', 'tuareg', 'tomachek', 'tamashek', 'touareg', 'tamashekin', 'touaregs', 'berber', 'africa', 'twaregs', 'sahara']",0.8852394050993863,0.6734342895274634,0.8466237128553902
3727,berber,berber,300263735.0,"['name', 'living', 'imeraguen', 'berber', 'imeragen', 'people', 'imragen', 'imraquen', 'style', 'imraguen', 'culture', 'region', 'african', 'mauritania']",0.8847159785418645,0.7015636854745735,0.8675337253436114
3717,berber,berber,300263728.0,"['west', 'name', 'living', 'berber', 'people', 'algiers', 'style', 'shenwa', 'culture', 'area', 'coastal', 'chenoua', 'algeria']",0.8781519403008213,0.6843995293790893,0.8393817779050999
3747,berber,berber,300375152.0,"['people', 'style', 'proper', 'culture', 'mauri', 'western', 'part', 'refer', 'mali', 'maures', 'islamic', 'use', 'mauritanian', 'arab', 'living', 'within', 'morocco', 'descent', 'mixed', 'mauritania', 'product', 'algeria', 'moor', 'berber', 'inhabiting', 'republic', 'neighboring', 'boundary', 'sahara', 'maure']",0.8650299945603881,0.812272880643265,0.9093356423898354
3734,berber,berber,300263998.0,"['people', 'style', 'ikoko', 'culture', 'mali', 'work', 'nimari', 'african', 'namadi', 'name', 'living', 'group', 'describes', 'mauritania', 'nimadi', 'berber', 'nomadic', 'nomadi', 'nemadi', 'created']",0.8635801169268298,0.7517473313943671,0.8901449350053748
