,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
34,barbarian,300018409.0,"['painting', 'people', 'also', 'emperor', 'adorn', 'burial', 'run', 'civilized', 'gandharan', 'moved', 'buddhism', 'longmen', 'built', 'magnificent', 'rely', 'temple', 'state', 'organize', 'population', 'demonstrating', 'accustomed', 'year', 'yungang', 'old', 'period', 'city', 'reigned', 'private', 'china', 'divided', 'tuoba', 'frontiersman', 'chinese', 'north', 'style', 'marked', 'culture', 'buddhist', 'dynastic', 'begun', 'pingcheng', 'feature', 'later', 'make', 'worked', 'distinction', 'began', 'eastern', 'influenced', 'became', 'symmetry', 'feel', 'craftsman', 'made', 'south', 'frontality', 'collapse', 'sculpture', 'initially', 'emerging', 'language', 'luoyang', 'ruin', 'use', 'thousand', 'leading', 'le', 'revolted', 'xiaowendi', 'dating', 'neglected', 'luxury', 'pottery', 'touba', 'linear', 'static', 'nomadic', 'instigation', 'nevertheless', 'patronage', 'emphasizes', 'official', 'barbarian', 'new', 'western', 'half', 'wei', 'northern', 'cave', 'capital', 'million', 'refers', 'art', 'forbidden', 'dynasty', 'icon', 'flourished', 'institution']",0.8024801636281068,0.7717835764098745,0.8368055223724935
36,barbarian,300018585.0,"['japanese', 'painting', 'often', 'including', 'jesuit', 'people', 'barbarian', 'style', 'western', 'rosary', 'lacquer', 'century', 'produced', 'ship', 'theme', 'motif', 'merchant', 'cross', 'japan', 'religious', 'work', 'artist', 'folding', 'namban', 'found', 'european', 'traditonal', 'refers', 'depicting', 'southern', 'flask', 'art', 'taught', 'niccolo', 'imported', 'screen', 'giovanni', 'missionary', 'ware', 'include', 'priest', 'traditional', 'connected']",0.7770361935586334,0.7647849724454292,0.8146994269104748
35,barbarian,300106913.0,"['often', 'stylized', 'including', 'dot', 'inlay', 'barbarian', 'style', 'age', 'roman', 'sculpture', 'lombard', 'culture', 'characterized', 'classical', 'instead', 'isolated', 'object', 'illumination', 'produced', 'tribe', 'line', 'empire', 'medieval', 'garnet', 'cross', 'work', 'area', 'vandal', 'ostrogoth', 'jewelry', 'enamel', 'repetitive', 'refers', 'declining', 'portable', 'ornamental', 'pattern', 'evident', 'art', 'gold', 'departure', 'design', 'frank', 'metalsmiths', 'favor', 'chevron', 'manuscript', 'architecture', 'period', 'dark', 'influenced', 'overran', 'visigoth', 'teutonic', 'color', 'migrant', 'migration']",0.8013395031913021,0.7389364945914189,0.8297374791280131
33,barbarians,,,,,
1,batavia,300012925.0,"['referring', 'tradename', 'general', 'resin', 'jakarta', 'shipped', 'batavia', 'formerly', 'damar', 'indonesia', 'dammar', 'various', 'term']",0.539954755526339,0.7277985983362302,0.7276174653104254
0,batavias,,,,,
3718,berber,300021550.0,"['painting', 'stone', 'also', 'hellenic', 'well', 'vigorous', 'replaced', 'popular', 'wood', 'egypt', 'naturalism', 'elegant', 'center', 'kufic', 'bear', 'akmar', 'attest', 'fatima', 'mediterranean', 'although', 'berber', 'ceramic', 'figural', 'element', 'representation', 'book', 'indebted', 'often', 'continued', 'material', 'north', 'favored', 'illustration', 'palace', 'style', 'glass', 'tradition', 'culture', 'instead', 'motif', 'building', 'floral', 'name', 'ornamentation', 'one', 'textile', 'muhammad', 'exploring', 'back', 'challenge', 'developed', 'associated', 'modern', 'sect', 'conch', 'seen', 'script', 'interest', 'became', 'cairo', 'contemporary', 'known', 'rival', 'infinite', 'shi', 'two', 'crusader', 'mosque', 'distinctive', 'many', 'islamic', 'based', 'noteworthy', 'artist', 'use', 'tulunids', 'antiquity', 'court', 'idea', 'pattern', 'technique', 'featuring', 'fatimids', 'east', 'inappropriate', 'typically', 'foliate', 'iraq', 'internationalism', 'abstract', 'decorated', 'linear', 'contend', 'inherited', 'form', 'fatimid', 'abbasid', 'system', 'inscription', 'successful', 'iconography', 'world', 'decoration', 'ancestry', 'bridge', 'carving', 'façade', 'ifriqiya', 'open', 'stood', 'new', 'christian', 'west', 'heritage', 'tunisia', 'religious', 'shell', 'account', 'survived', 'refers', 'elaborated', 'evident', 'art', 'design', 'traced', 'late', 'figurative', 'dynasty', 'daughter', 'power', 'nothing', 'ruled', 'ivory', 'abstraction', 'magnificence', 'unparalleled']",0.7760838538882988,0.8622221656578236,0.8908824266197418
3726,berber,300021528.0,"['united', 'well', 'courtyard', 'exterior', 'century', 'done', 'innovation', 'built', 'magnificent', 'simple', 'center', 'bay', 'southern', 'characteristically', 'muwahhidun', 'face', 'fenestrated', 'losing', 'gigantic', 'architecture', 'architectural', 'berber', 'period', 'africa', 'enlarged', 'earliest', 'latticed', 'tooling', 'tinmal', 'north', 'arcade', 'tend', 'culture', 'multi', 'several', 'three', 'create', 'notable', 'almohad', 'different', 'binding', 'vista', 'feature', 'repetitive', 'austere', 'one', 'seville', 'rose', 'textile', 'copy', 'maghribi', 'reveal', 'associated', 'important', 'richly', 'spain', 'began', 'location', 'arch', 'parchment', 'bookmaking', 'directed', 'known', 'space', 'typical', 'declined', 'lobed', 'time', 'viii', 'elaborately', 'ornate', 'mosque', 'rabat', 'shape', 'koran', 'islamic', 'geometric', 'use', 'especially', 'court', 'volume', 'example', 'minaret', 'unit', 'enormous', 'pattern', 'replace', 'gold', 'metalwork', 'maghrib', 'square', 'luxury', 'marrakesh', 'decorated', 'bookbinding', 'philosophy', 'detail', 'dated', 'masterpiece', 'defeated', 'contrast', 'another', 'deep', 'congregational', 'decoration', 'whole', 'almoravid', 'taste', 'sense', 'marinids', 'almohads', 'almohades', 'considered', 'stonework', 'lost', 'voluptuous', 'refers', 'art', 'design', 'juxtaposition', 'late', 'mihrab', 'dynasty', 'expense', 'power', 'interior', 'strongly', 'puritanically', 'paper', 'conquered', 'flourished', 'show', 'ruled', 'andalusia', 'learning', 'first', 'relieved', 'alfonso', 'like', 'behind', 'raised']",0.7443907484669455,0.8503283541617864,0.8658193214291289
3749,berber,300443574.0,"['language', 'considered', 'classified', 'modern', 'traditionally', 'berber', 'one', 'group', 'classification', 'scholarship']",0.8002951280163496,0.8326913753723463,0.8949049181714188
3725,berber,300114633.0,"['traditionally', 'algiers', 'also', 'exterior', 'vault', 'imaginative', 'decorative', 'founded', 'connection', 'built', 'ornamental', 'rectangular', 'influence', 'architecture', 'architectural', 'berber', 'africa', 'felt', 'controlled', 'north', 'internal', 'powerful', 'culture', 'instead', 'suspended', 'part', 'animate', 'apart', 'leader', 'three', 'fountain', 'building', 'create', 'almohad', 'fervor', 'african', 'succeeded', 'muqarnas', 'dome', 'applied', 'developed', 'maghribi', 'associated', 'noted', 'spain', 'arch', 'known', 'appealed', 'space', 'almoravides', 'lobed', 'yusuf', 'hallmark', 'mostly', 'transplanted', 'mosque', 'umayyad', 'rhythm', 'islamic', 'egyptian', 'noteworthy', 'configuration', 'architect', 'distinctively', 'ceiling', 'marrakesh', 'great', 'fès', 'form', 'inspired', 'kept', 'puritanical', 'decoration', 'manipulation', 'visually', 'almoravid', 'tilimsen', 'western', 'crinkled', 'sculptural', 'religious', 'patron', 'córdoba', 'rather', 'refers', 'tashfin', 'art', 'dynasty', 'dimensional', 'nothing', 'act', 'movement', 'ruled', 'reveals', 'andalusia', 'traditional', 'using']",0.7784099120497101,0.8305551113492222,0.8765857448674296
